t              SphericalCavity.fdtd_Point probe_Ez_50_25_50.dat
   0.56018627445086899E-008  -0.114335993E-002
   0.56203507403651543E-008  -0.111204328E-002
   0.56388387362216186E-008  -0.105055666E-002
   0.56573267320780829E-008  -0.960704812E-003
   0.56758147279345472E-008  -0.845677394E-003
   0.56943027237910115E-008  -0.709622458E-003
   0.57127907196474759E-008  -0.557350577E-003
   0.57312787155039402E-008  -0.394402945E-003
   0.57497667113604045E-008  -0.227173863E-003
   0.57682547072168688E-008  -0.626194087E-004
   0.57867427030733332E-008   0.924594497E-004
   0.58052306989297975E-008   0.232131308E-003
   0.58237186947862618E-008   0.351723080E-003
   0.58422066906427261E-008   0.447928294E-003
   0.58606946864991905E-008   0.518814311E-003
   0.58791826823556548E-008   0.563802314E-003
   0.58976706782121191E-008   0.583603047E-003
   0.59161586740685834E-008   0.580074498E-003
   0.59346466699250477E-008   0.555993523E-003
   0.59531346657815121E-008   0.514813175E-003
   0.59716226616379764E-008   0.460491865E-003
   0.59901106574944407E-008   0.397325173E-003
   0.60085986533509050E-008   0.329616771E-003
   0.60270866492073694E-008   0.261243316E-003
   0.60455746450638337E-008   0.195401139E-003
   0.60640626409202980E-008   0.134640824E-003
   0.60825506367767623E-008   0.809432677E-004
   0.61010386326332267E-008   0.356199744E-004
   0.61195266284896910E-008  -0.849297066E-006
   0.61380146243461553E-008  -0.288481206E-004
   0.61565026202026196E-008  -0.495293280E-004
   0.61749906160590839E-008  -0.646511471E-004
   0.61934786119155483E-008  -0.762973577E-004
   0.62119666077720126E-008  -0.865332695E-004
   0.62304546036284769E-008  -0.972253256E-004
   0.62489425994849412E-008  -0.110081128E-003
   0.62674305953414056E-008  -0.126636878E-003
   0.62859185911978699E-008  -0.148014151E-003
   0.63044065870543342E-008  -0.174675428E-003
   0.63228945829107985E-008  -0.206443336E-003
   0.63413825787672629E-008  -0.242663038E-003
   0.63598705746237272E-008  -0.282255496E-003
   0.63783585704801915E-008  -0.323726184E-003
   0.63968465663366558E-008  -0.365366490E-003
   0.64153345621931201E-008  -0.405603700E-003
   0.64338225580495845E-008  -0.443188474E-003
   0.64523105539060488E-008  -0.477084977E-003
   0.64707985497625131E-008  -0.506282086E-003
   0.64892865456189774E-008  -0.529780576E-003
   0.65077745414754418E-008  -0.546716270E-003
   0.65262625373319061E-008  -0.556378858E-003
   0.65447505331883704E-008  -0.558042317E-003
   0.65632385290448347E-008  -0.550790923E-003
   0.65817265249012991E-008  -0.533516111E-003
   0.66002145207577634E-008  -0.505008677E-003
   0.66187025166142277E-008  -0.464003766E-003
   0.66371905124706920E-008  -0.409236265E-003
   0.66556785083271564E-008  -0.339644030E-003
   0.66741665041836207E-008  -0.254652783E-003
   0.66926545000400850E-008  -0.154339767E-003
   0.67111424958965493E-008  -0.394473609E-004
   0.67296304917530136E-008   0.885954796E-004
   0.67481184876094780E-008   0.227571640E-003
   0.67666064834659423E-008   0.374389929E-003
   0.67850944793224066E-008   0.525100797E-003
   0.68035824751788709E-008   0.675012823E-003
   0.68220704710353353E-008   0.818900473E-003
   0.68405584668917996E-008   0.951284834E-003
   0.68590464627482639E-008   0.106670614E-002
   0.68775344586047282E-008   0.115993689E-002
   0.68960224544611926E-008   0.122619944E-002
   0.69145104503176569E-008   0.126146618E-002
   0.69329984461741212E-008   0.126279006E-002
   0.69514864420305855E-008   0.122856349E-002
   0.69699744378870498E-008   0.115868705E-002
   0.69884624337435142E-008   0.105467555E-002
   0.70069504295999785E-008   0.919677725E-003
   0.70254384254564428E-008   0.758361944E-003
   0.70439264213129071E-008   0.576688908E-003
   0.70624144171693715E-008   0.381648890E-003
   0.70809024130258358E-008   0.181009120E-003
   0.70993904088823001E-008  -0.169849809E-004
   0.71178784047387644E-008  -0.204072538E-003
   0.71363664005952288E-008  -0.372611074E-003
   0.71548543964516931E-008  -0.516177097E-003
   0.71733423923081574E-008  -0.629908522E-003
   0.71918303881646217E-008  -0.710630091E-003
   0.72103183840210860E-008  -0.756985624E-003
   0.72288063798775504E-008  -0.769603590E-003
   0.72472943757340147E-008  -0.751068234E-003
   0.72657823715904790E-008  -0.705586339E-003
   0.72842703674469433E-008  -0.638529134E-003
   0.73027583633034077E-008  -0.556017738E-003
   0.73212463591598720E-008  -0.464487413E-003
   0.73397343550163363E-008  -0.370167254E-003
   0.73582223508728006E-008  -0.278633495E-003
   0.73767103467292650E-008  -0.194588705E-003
   0.73951983425857293E-008  -0.121756275E-003
   0.74136863384421936E-008  -0.627137633E-004
   0.74321743342986579E-008  -0.187440455E-004
   0.74506623301551222E-008   0.100909492E-004
   0.74691503260115866E-008   0.246838244E-004
   0.74876383218680509E-008   0.266627667E-004
   0.75061263177245152E-008   0.183024385E-004
   0.75246143135809795E-008   0.238902794E-005
   0.75431023094374439E-008  -0.180846855E-004
   0.75615903052939082E-008  -0.402670412E-004
   0.75800783011503725E-008  -0.616636171E-004
   0.75985662970068368E-008  -0.802424474E-004
   0.76170542928633012E-008  -0.945471256E-004
   0.76355422887197655E-008  -0.103810242E-003
   0.76540302845762298E-008  -0.107967695E-003
   0.76725182804326941E-008  -0.107574400E-003
   0.76910062762891584E-008  -0.103700077E-003
   0.77094942721456228E-008  -0.977914315E-004
   0.77279822680020871E-008  -0.914378106E-004
   0.77464702638585514E-008  -0.861169465E-004
   0.77649582597150157E-008  -0.830672507E-004
   0.77834462555714801E-008  -0.832498408E-004
   0.78019342514279444E-008  -0.872214077E-004
   0.78204222472844087E-008  -0.949139503E-004
   0.78389102431408730E-008  -0.105544103E-003
   0.78573982389973374E-008  -0.117787145E-003
   0.78758862348538017E-008  -0.130088229E-003
   0.78943742307102660E-008  -0.140919132E-003
   0.79128622265667303E-008  -0.148941661E-003
   0.79313502224231947E-008  -0.153135217E-003
   0.79498382182796590E-008  -0.152896537E-003
   0.79683262141361233E-008  -0.148082399E-003
   0.79868142099925876E-008  -0.139013588E-003
   0.80053022058490519E-008  -0.126455518E-003
   0.80237902017055163E-008  -0.111494512E-003
   0.80422781975619806E-008  -0.952435657E-004
   0.80607661934184449E-008  -0.785245938E-004
   0.80792541892749092E-008  -0.617661499E-004
   0.80977421851313736E-008  -0.450987573E-004
   0.81162301809878379E-008  -0.283938534E-004
   0.81347181768443022E-008  -0.111790505E-004
   0.81532061727007665E-008   0.735118374E-005
   0.81716941685572309E-008   0.281386474E-004
   0.81901821644136952E-008   0.520907961E-004
   0.82086701602701595E-008   0.800726484E-004
   0.82271581561266238E-008   0.112892878E-003
   0.82456461519830881E-008   0.151128785E-003
   0.82641341478395525E-008   0.194916938E-003
   0.82826221436960168E-008   0.243908580E-003
   0.83011101395524811E-008   0.297388091E-003
   0.83195981354089454E-008   0.354407995E-003
   0.83380861312654098E-008   0.413840724E-003
   0.83565741271218741E-008   0.474359083E-003
   0.83750621229783384E-008   0.534422288E-003
   0.83935501188348027E-008   0.592321274E-003
   0.84120381146912671E-008   0.646255794E-003
   0.84305261105477314E-008   0.694402377E-003
   0.84490141064041957E-008   0.735001231E-003
   0.84675021022606600E-008   0.766478071E-003
   0.84859900981171243E-008   0.787502795E-003
   0.85044780939735887E-008   0.796916080E-003
   0.85229660898300530E-008   0.793654704E-003
   0.85414540856865173E-008   0.776848581E-003
   0.85599420815429816E-008   0.746015168E-003
   0.85784300773994460E-008   0.701114303E-003
   0.85969180732559103E-008   0.642427185E-003
   0.86154060691123746E-008   0.570481468E-003
   0.86338940649688389E-008   0.486149249E-003
   0.86523820608253033E-008   0.390753179E-003
   0.86708700566817676E-008   0.286004622E-003
   0.86893580525382319E-008   0.173867826E-003
   0.87078460483946962E-008   0.565221635E-004
   0.87263340442511605E-008  -0.636379846E-004
   0.87448220401076249E-008  -0.184119272E-003
   0.87633100359640892E-008  -0.302489003E-003
   0.87817980318205535E-008  -0.416402094E-003
   0.88002860276770178E-008  -0.523564639E-003
   0.88187740235334822E-008  -0.621832034E-003
   0.88372620193899465E-008  -0.709367974E-003
   0.88557500152464108E-008  -0.784600677E-003
   0.88742380111028751E-008  -0.845980656E-003
   0.88927260069593395E-008  -0.891846255E-003
   0.89112140028158038E-008  -0.920555787E-003
   0.89297019986722681E-008  -0.930724666E-003
   0.89481899945287324E-008  -0.921372150E-003
   0.89666779903851968E-008  -0.891958422E-003
   0.89851659862416611E-008  -0.842396170E-003
   0.90036539820981254E-008  -0.773115433E-003
   0.90221419779545897E-008  -0.685197301E-003
   0.90406299738110540E-008  -0.580483291E-003
   0.90591179696675184E-008  -0.461568416E-003
   0.90776059655239827E-008  -0.331744057E-003
   0.90960939613804470E-008  -0.194997192E-003
   0.91145819572369113E-008  -0.559526816E-004
   0.91330699530933757E-008   0.804428564E-004
   0.91515579489498400E-008   0.209394784E-003
   0.91700459448063043E-008   0.326544628E-003
   0.91885339406627686E-008   0.427973864E-003
   0.92070219365192330E-008   0.510221871E-003
   0.92255099323756973E-008   0.570538396E-003
   0.92439979282321616E-008   0.607210444E-003
   0.92624859240886259E-008   0.619703438E-003
   0.92809739199450902E-008   0.608603703E-003
   0.92994619158015546E-008   0.575531682E-003
   0.93179499116580189E-008   0.523101829E-003
   0.93364379075144832E-008   0.454841706E-003
   0.93549259033709475E-008   0.374955329E-003
   0.93734138992274119E-008   0.287932548E-003
   0.93919018950838762E-008   0.198158639E-003
   0.94103898909403405E-008   0.109691820E-003
   0.94288778867968048E-008   0.261973109E-004
   0.94473658826532692E-008  -0.491549290E-004
   0.94658538785097335E-008  -0.113952243E-003
   0.94843418743661978E-008  -0.166834274E-003
   0.95028298702226621E-008  -0.207587553E-003
   0.95213178660791264E-008  -0.236976484E-003
   0.95398058619355908E-008  -0.256476720E-003
   0.95582938577920551E-008  -0.268099539E-003
   0.95767818536485194E-008  -0.274307065E-003
   0.95952698495049837E-008  -0.277840270E-003
   0.96137578453614481E-008  -0.281339308E-003
   0.96322458412179124E-008  -0.286896509E-003
   0.96507338370743767E-008  -0.295832404E-003
   0.96692218329308410E-008  -0.308782968E-003
   0.96877098287873054E-008  -0.325856672E-003
   0.97061978246437697E-008  -0.346629589E-003
   0.97246858205002340E-008  -0.370097900E-003
   0.97431738163566983E-008  -0.394863600E-003
   0.97616618122131626E-008  -0.419510849E-003
   0.97801498080696270E-008  -0.442812103E-003
   0.97986378039260913E-008  -0.463588367E-003
   0.98171257997825556E-008  -0.480482617E-003
   0.98356137956390199E-008  -0.491977087E-003
   0.98541017914954843E-008  -0.496655179E-003
   0.98725897873519486E-008  -0.493468367E-003
   0.98910777832084129E-008  -0.481824478E-003
   0.99095657790648772E-008  -0.461468939E-003
   0.99280537749213416E-008  -0.432250381E-003
   0.99465417707778059E-008  -0.393948198E-003
   0.99650297666342702E-008  -0.346299290E-003
   0.99835177624907345E-008  -0.289156858E-003
   0.10002005758347199E-007  -0.222596063E-003
   0.10020493754203663E-007  -0.146918872E-003
   0.10038981750060127E-007  -0.626625406E-004
   0.10057469745916592E-007   0.293497287E-004
   0.10075957741773056E-007   0.127996405E-003
   0.10094445737629520E-007   0.231913175E-003
   0.10112933733485985E-007   0.339516584E-003
   0.10131421729342449E-007   0.448904262E-003
   0.10149909725198913E-007   0.557689811E-003
   0.10168397721055378E-007   0.662952894E-003
   0.10186885716911842E-007   0.761420932E-003
   0.10205373712768306E-007   0.849768636E-003
   0.10223861708624771E-007   0.924778462E-003
   0.10242349704481235E-007   0.983284786E-003
   0.10260837700337699E-007   0.102212059E-002
   0.10279325696194164E-007   0.103829871E-002
   0.10297813692050628E-007   0.102939259E-002
   0.10316301687907092E-007   0.993901980E-003
   0.10334789683763557E-007   0.931452436E-003
   0.10353277679620021E-007   0.842823065E-003
   0.10371765675476485E-007   0.729888969E-003
   0.10390253671332950E-007   0.595594931E-003
   0.10408741667189414E-007   0.443981029E-003
   0.10427229663045878E-007   0.280146254E-003
   0.10445717658902343E-007   0.110061243E-003
   0.10464205654758807E-007  -0.597269682E-004
   0.10482693650615271E-007  -0.222453935E-003
   0.10501181646471736E-007  -0.371589907E-003
   0.10519669642328200E-007  -0.501335075E-003
   0.10538157638184664E-007  -0.606987916E-003
   0.10556645634041129E-007  -0.685113308E-003
   0.10575133629897593E-007  -0.733625842E-003
   0.10593621625754057E-007  -0.751905609E-003
   0.10612109621610522E-007  -0.740930554E-003
   0.10630597617466986E-007  -0.703322934E-003
   0.10649085613323450E-007  -0.643172767E-003
   0.10667573609179914E-007  -0.565582886E-003
   0.10686061605036379E-007  -0.476120447E-003
   0.10704549600892843E-007  -0.380464626E-003
   0.10723037596749307E-007  -0.284260837E-003
   0.10741525592605772E-007  -0.192900945E-003
   0.10760013588462236E-007  -0.111106587E-003
   0.10778501584318700E-007  -0.425382532E-004
   0.10796989580175165E-007   0.103463171E-004
   0.10815477576031629E-007   0.462476382E-004
   0.10833965571888093E-007   0.649962894E-004
   0.10852453567744558E-007   0.676142226E-004
   0.10870941563601022E-007   0.563369831E-004
   0.10889429559457486E-007   0.344078762E-004
   0.10907917555313951E-007   0.562503737E-005
   0.10926405551170415E-007  -0.261510158E-004
   0.10944893547026879E-007  -0.573347279E-004
   0.10963381542883344E-007  -0.848181080E-004
   0.10981869538739808E-007  -0.106153013E-003
   0.11000357534596272E-007  -0.119748285E-003
   0.11018845530452737E-007  -0.125047882E-003
   0.11037333526309201E-007  -0.122596859E-003
   0.11055821522165665E-007  -0.113866670E-003
   0.11074309518022130E-007  -0.100893223E-003
   0.11092797513878594E-007  -0.860114305E-004
   0.11111285509735058E-007  -0.717819639E-004
   0.11129773505591523E-007  -0.608155206E-004
   0.11148261501447987E-007  -0.553203317E-004
   0.11166749497304451E-007  -0.566727067E-004
   0.11185237493160916E-007  -0.653106981E-004
   0.11203725489017380E-007  -0.808322584E-004
   0.11222213484873844E-007  -0.102108257E-003
   0.11240701480730309E-007  -0.127462568E-003
   0.11259189476586773E-007  -0.154929148E-003
   0.11277677472443237E-007  -0.182425691E-003
   0.11296165468299701E-007  -0.207857694E-003
   0.11314653464156166E-007  -0.229345533E-003
   0.11333141460012630E-007  -0.245501404E-003
   0.11351629455869094E-007  -0.255455932E-003
