t              BoxCavity.fdtd_Point probe_Ex_20_30_24.dat
   0.80268728523767013E-009  -0.535923929E-003
   0.80422795181202267E-009  -0.544163107E-003
   0.80576861838637520E-009  -0.552583311E-003
   0.80730928496072774E-009  -0.561248336E-003
   0.80884995153508027E-009  -0.570017553E-003
   0.81039061810943280E-009  -0.578739622E-003
   0.81193128468378534E-009  -0.587465125E-003
   0.81347195125813787E-009  -0.596379337E-003
   0.81501261783249040E-009  -0.605545822E-003
   0.81655328440684294E-009  -0.614817487E-003
   0.81809395098119547E-009  -0.624039734E-003
   0.81963461755554801E-009  -0.633264775E-003
   0.82117528412990054E-009  -0.642682367E-003
   0.82271595070425307E-009  -0.652359449E-003
   0.82425661727860561E-009  -0.662146078E-003
   0.82579728385295814E-009  -0.671879738E-003
   0.82733795042731068E-009  -0.681611884E-003
   0.82887861700166321E-009  -0.691541296E-003
   0.83041928357601574E-009  -0.701739744E-003
   0.83195995015036828E-009  -0.712049659E-003
   0.83350061672472081E-009  -0.722301251E-003
   0.83504128329907334E-009  -0.732549932E-003
   0.83658194987342588E-009  -0.743001234E-003
   0.83812261644777841E-009  -0.753726985E-003
   0.83966328302213095E-009  -0.764565135E-003
   0.84120394959648348E-009  -0.775342982E-003
   0.84274461617083601E-009  -0.786115881E-003
   0.84428528274518855E-009  -0.797092915E-003
   0.84582594931954108E-009  -0.808349985E-003
   0.84736661589389362E-009  -0.819723180E-003
   0.84890728246824615E-009  -0.831032638E-003
   0.85044794904259868E-009  -0.842332258E-003
   0.85198861561695122E-009  -0.853838690E-003
   0.85352928219130375E-009  -0.865632028E-003
   0.85506994876565628E-009  -0.877542887E-003
   0.85661061534000882E-009  -0.889385527E-003
   0.85815128191436135E-009  -0.901215652E-003
   0.85969194848871389E-009  -0.913254626E-003
   0.86123261506306642E-009  -0.925583823E-003
   0.86277328163741895E-009  -0.938031706E-003
   0.86431394821177149E-009  -0.950409507E-003
   0.86585461478612402E-009  -0.962771184E-003
   0.86739528136047656E-009  -0.975340430E-003
   0.86893594793482909E-009  -0.988203101E-003
   0.87047661450918162E-009  -0.100118667E-002
   0.87201728108353416E-009  -0.101409701E-002
   0.87355794765788669E-009  -0.102698687E-002
   0.87509861423223922E-009  -0.104008405E-002
   0.87663928080659176E-009  -0.105347659E-002
   0.87817994738094429E-009  -0.106699031E-002
   0.87972061395529683E-009  -0.108042813E-002
   0.88126128052964936E-009  -0.109384186E-002
   0.88280194710400189E-009  -0.110746105E-002
   0.88434261367835443E-009  -0.112137652E-002
   0.88588328025270696E-009  -0.113541342E-002
   0.88742394682705950E-009  -0.114937092E-002
   0.88896461340141203E-009  -0.116330001E-002
   0.89050527997576456E-009  -0.117743330E-002
   0.89204594655011710E-009  -0.119186263E-002
   0.89358661312446963E-009  -0.120641082E-002
   0.89512727969882216E-009  -0.122087740E-002
   0.89666794627317470E-009  -0.123531371E-002
   0.89820861284752723E-009  -0.124994945E-002
   0.89974927942187977E-009  -0.126487634E-002
   0.90128994599623230E-009  -0.127992290E-002
   0.90283061257058483E-009  -0.129488902E-002
   0.90437127914493737E-009  -0.130981894E-002
   0.90591194571928990E-009  -0.132493977E-002
   0.90745261229364244E-009  -0.134034897E-002
   0.90899327886799497E-009  -0.135587808E-002
   0.91053394544234750E-009  -0.137132430E-002
   0.91207461201670004E-009  -0.138672942E-002
   0.91361527859105257E-009  -0.140232069E-002
   0.91515594516540510E-009  -0.141819438E-002
   0.91669661173975764E-009  -0.143418321E-002
   0.91823727831411017E-009  -0.145008834E-002
   0.91977794488846271E-009  -0.146595121E-002
   0.92131861146281524E-009  -0.148199208E-002
   0.92285927803716777E-009  -0.149830617E-002
   0.92439994461152031E-009  -0.151473330E-002
   0.92594061118587284E-009  -0.153107615E-002
