t              BoxCavity.fdtd_Point probe001_Ez_15_10_7.dat
   0.18672878881152710E-008   0.167390544E-005
   0.18703692212639761E-008   0.178021787E-005
   0.18734505544126812E-008   0.172284581E-005
   0.18765318875613862E-008   0.150685287E-005
   0.18796132207100913E-008   0.135404025E-005
   0.18826945538587964E-008   0.139530664E-005
   0.18857758870075014E-008   0.149571724E-005
   0.18888572201562065E-008   0.144615228E-005
   0.18919385533049116E-008   0.125103486E-005
   0.18950198864536166E-008   0.111530142E-005
   0.18981012196023217E-008   0.115681837E-005
   0.19011825527510268E-008   0.124894132E-005
   0.19042638858997318E-008   0.120387153E-005
   0.19073452190484369E-008   0.103029561E-005
   0.19104265521971420E-008   0.911994334E-006
   0.19135078853458470E-008   0.951433549E-006
   0.19165892184945521E-008   0.103498883E-005
   0.19196705516432572E-008   0.995399887E-006
   0.19227518847919622E-008   0.841028168E-006
   0.19258332179406673E-008   0.738121571E-006
   0.19289145510893724E-008   0.777157311E-006
   0.19319958842380774E-008   0.851934885E-006
