t              noda2002.fdtd_Point probe_Ez_12_12_2.dat
   0.37055999851931531E-007  -0.472935211E+003
   0.37151999851547934E-007  -0.473759796E+003
   0.37247999851164337E-007  -0.474650238E+003
   0.37343999850780740E-007  -0.475471161E+003
   0.37439999850397143E-007  -0.476148224E+003
   0.37535999850013546E-007  -0.476773102E+003
   0.37631999849629949E-007  -0.477475555E+003
   0.37727999849246352E-007  -0.478244080E+003
   0.37823999848862755E-007  -0.478946075E+003
   0.37919999848479158E-007  -0.479515503E+003
   0.38015999848095561E-007  -0.480042572E+003
   0.38111999847711964E-007  -0.480643951E+003
   0.38207999847328367E-007  -0.481299713E+003
   0.38303999846944770E-007  -0.481884674E+003
   0.38399999846561172E-007  -0.482344360E+003
   0.38495999846177575E-007  -0.482767334E+003
   0.38591999845793978E-007  -0.483257477E+003
   0.38687999845410381E-007  -0.483791290E+003
   0.38783999845026784E-007  -0.484257416E+003
   0.38879999844643187E-007  -0.484616028E+003
   0.38975999844259590E-007  -0.484952576E+003
   0.39071999843875993E-007  -0.485358337E+003
   0.39167999843492396E-007  -0.485809204E+003
   0.39263999843108799E-007  -0.486208801E+003
   0.39359999842725202E-007  -0.486526489E+003
   0.39455999842341605E-007  -0.486836029E+003
   0.39551999841958008E-007  -0.487208923E+003
   0.39647999841574411E-007  -0.487617432E+003
   0.39743999841190814E-007  -0.487977570E+003
   0.39839999840807216E-007  -0.488263641E+003
   0.39935999840423619E-007  -0.466576729E+002
