t              SphereRCS.fdtd_Point probe_Ex_15_15_4.dat       incid
   0.16392692120392738E-007   0.266748145E-001   0.000000000E+000
   0.16423505451446108E-007   0.496023446E-001   0.000000000E+000
   0.16454318782499477E-007   0.689746141E-001   0.000000000E+000
   0.16485132113552847E-007   0.834574923E-001   0.000000000E+000
   0.16515945444606217E-007   0.920850486E-001   0.000000000E+000
   0.16546758775659587E-007   0.943094045E-001   0.000000000E+000
   0.16577572106712957E-007   0.900219232E-001   0.000000000E+000
   0.16608385437766326E-007   0.795470402E-001   0.000000000E+000
   0.16639198768819696E-007   0.636114851E-001   0.000000000E+000
   0.16670012099873066E-007   0.432922021E-001   0.000000000E+000
   0.16700825430926436E-007   0.199466329E-001   0.000000000E+000
   0.16731638761979806E-007  -0.487087667E-002   0.000000000E+000
   0.16762452093033176E-007  -0.295028370E-001   0.000000000E+000
   0.16793265424086545E-007  -0.522887558E-001   0.000000000E+000
   0.16824078755139915E-007  -0.716675669E-001   0.000000000E+000
   0.16854892086193285E-007  -0.862778723E-001   0.000000000E+000
   0.16885705417246655E-007  -0.950508565E-001   0.000000000E+000
   0.16916518748300025E-007  -0.972902030E-001   0.000000000E+000
   0.16947332079353394E-007  -0.927329734E-001   0.000000000E+000
   0.16978145410406764E-007  -0.815855861E-001   0.000000000E+000
   0.17008958741460134E-007  -0.645296425E-001   0.000000000E+000
   0.17039772072513504E-007  -0.426938832E-001   0.000000000E+000
   0.17070585403566874E-007  -0.175909586E-001   0.000000000E+000
   0.17101398734620243E-007   0.897968933E-002   0.000000000E+000
   0.17132212065673613E-007   0.350579545E-001   0.000000000E+000
   0.17163025396726983E-007   0.586701557E-001   0.000000000E+000
   0.17193838727780353E-007   0.779859722E-001   0.000000000E+000
   0.17224652058833723E-007   0.914721191E-001   0.000000000E+000
   0.17255465389887092E-007   0.980284959E-001   0.000000000E+000
   0.17286278720940462E-007   0.970932171E-001   0.000000000E+000
   0.17317092051993832E-007   0.887049288E-001   0.000000000E+000
   0.17347905383047202E-007   0.735143274E-001   0.000000000E+000
   0.17378718714100572E-007   0.527414009E-001   0.000000000E+000
   0.17409532045153941E-007   0.280803125E-001   0.000000000E+000
   0.17440345376207311E-007   0.155923888E-002   0.000000000E+000
   0.17471158707260681E-007  -0.246326923E-001   0.000000000E+000
   0.17501972038314051E-007  -0.483354479E-001   0.000000000E+000
   0.17532785369367421E-007  -0.676071271E-001   0.000000000E+000
   0.17563598700420791E-007  -0.808937922E-001   0.000000000E+000
   0.17594412031474160E-007  -0.871636644E-001   0.000000000E+000
   0.17625225362527530E-007  -0.859928951E-001   0.000000000E+000
   0.17656038693580900E-007  -0.775949955E-001   0.000000000E+000
   0.17686852024634270E-007  -0.627918616E-001   0.000000000E+000
   0.17717665355687640E-007  -0.429302678E-001   0.000000000E+000
   0.17748478686741009E-007  -0.197530407E-001   0.000000000E+000
   0.17779292017794379E-007   0.476153754E-002   0.000000000E+000
