t              SphereRCS.fdtd_Point probe_Ey_15_15_4.dat       incid
   0.97061992818114895E-008   0.877303421E-003   0.000000000E+000
   0.97370126128648593E-008   0.760729308E-003   0.000000000E+000
   0.97678259439182291E-008   0.628230046E-003   0.000000000E+000
   0.97986392749715989E-008   0.480472925E-003   0.000000000E+000
   0.98294526060249687E-008   0.321804022E-003   0.000000000E+000
   0.98602659370783385E-008   0.161509553E-003   0.000000000E+000
   0.98910792681317083E-008   0.138513424E-004   0.000000000E+000
   0.99218925991850782E-008  -0.103236758E-003   0.000000000E+000
   0.99527059302384480E-008  -0.170635729E-003   0.000000000E+000
   0.99835192612918178E-008  -0.171305437E-003   0.000000000E+000
   0.10014332592345188E-007  -0.937414152E-004   0.000000000E+000
   0.10045145923398557E-007   0.650327565E-004   0.000000000E+000
   0.10075959254451927E-007   0.297549064E-003   0.000000000E+000
   0.10106772585505297E-007   0.585502712E-003   0.000000000E+000
   0.10137585916558667E-007   0.901083811E-003   0.000000000E+000
   0.10168399247612037E-007   0.120993447E-002   0.000000000E+000
   0.10199212578665406E-007   0.147534756E-002   0.000000000E+000
   0.10230025909718776E-007   0.166309136E-002   0.000000000E+000
   0.10260839240772146E-007   0.174611667E-002   0.000000000E+000
   0.10291652571825516E-007   0.170840125E-002   0.000000000E+000
   0.10322465902878886E-007   0.154730887E-002   0.000000000E+000
   0.10353279233932255E-007   0.127407629E-002   0.000000000E+000
   0.10384092564985625E-007   0.912340591E-003   0.000000000E+000
   0.10414905896038995E-007   0.494936132E-003   0.000000000E+000
   0.10445719227092365E-007   0.594693702E-004   0.000000000E+000
   0.10476532558145735E-007  -0.356632081E-003   0.000000000E+000
   0.10507345889199105E-007  -0.720829354E-003   0.000000000E+000
   0.10538159220252474E-007  -0.100923679E-002   0.000000000E+000
   0.10568972551305844E-007  -0.120891549E-002   0.000000000E+000
   0.10599785882359214E-007  -0.131843635E-002   0.000000000E+000
   0.10630599213412584E-007  -0.134675356E-002   0.000000000E+000
   0.10661412544465954E-007  -0.131070602E-002   0.000000000E+000
   0.10692225875519323E-007  -0.123167911E-002   0.000000000E+000
   0.10723039206572693E-007  -0.113205751E-002   0.000000000E+000
   0.10753852537626063E-007  -0.103208493E-002   0.000000000E+000
   0.10784665868679433E-007  -0.947608380E-003   0.000000000E+000
   0.10815479199732803E-007  -0.888969982E-003   0.000000000E+000
   0.10846292530786172E-007  -0.861050445E-003   0.000000000E+000
   0.10877105861839542E-007  -0.864229631E-003   0.000000000E+000
   0.10907919192892912E-007  -0.895850884E-003   0.000000000E+000
   0.10938732523946282E-007  -0.951703812E-003   0.000000000E+000
   0.10969545854999652E-007  -0.102707976E-002   0.000000000E+000
   0.11000359186053021E-007  -0.111710373E-002   0.000000000E+000
   0.11031172517106391E-007  -0.121626572E-002   0.000000000E+000
