t              pw-in-box.fdtd_inbox_Ex_3_3_3.dat       incid
   0.42060196887849788E-008  -0.212829448E-006   0.000000000E+000
   0.42214263543116637E-008  -0.208016871E-006   0.000000000E+000
   0.42368330198383486E-008  -0.202904999E-006   0.000000000E+000
   0.42522396853650335E-008  -0.202035395E-006   0.000000000E+000
   0.42676463508917184E-008  -0.196015236E-006   0.000000000E+000
   0.42830530164184033E-008  -0.195862427E-006   0.000000000E+000
   0.42984596819450882E-008  -0.210362018E-006   0.000000000E+000
   0.43138663474717731E-008  -0.216284320E-006   0.000000000E+000
   0.43292730129984580E-008  -0.203718656E-006   0.000000000E+000
   0.43446796785251429E-008  -0.196338789E-006   0.000000000E+000
   0.43600863440518278E-008  -0.200166966E-006   0.000000000E+000
   0.43754930095785127E-008  -0.199906538E-006   0.000000000E+000
   0.43908996751051976E-008  -0.200373336E-006   0.000000000E+000
   0.44063063406318825E-008  -0.208889475E-006   0.000000000E+000
   0.44217130061585674E-008  -0.210701032E-006   0.000000000E+000
   0.44371196716852523E-008  -0.202447040E-006   0.000000000E+000
   0.44525263372119372E-008  -0.198859325E-006   0.000000000E+000
   0.44679330027386222E-008  -0.198615368E-006   0.000000000E+000
   0.44833396682653071E-008  -0.196451268E-006   0.000000000E+000
   0.44987463337919920E-008  -0.202955619E-006   0.000000000E+000
   0.45141529993186769E-008  -0.213429360E-006   0.000000000E+000
   0.45295596648453618E-008  -0.208176786E-006   0.000000000E+000
   0.45449663303720467E-008  -0.196079739E-006   0.000000000E+000
   0.45603729958987316E-008  -0.197166173E-006   0.000000000E+000
   0.45757796614254165E-008  -0.201533751E-006   0.000000000E+000
   0.45911863269521014E-008  -0.199179439E-006   0.000000000E+000
   0.46065929924787863E-008  -0.203160141E-006   0.000000000E+000
   0.46219996580054712E-008  -0.211024457E-006   0.000000000E+000
   0.46374063235321561E-008  -0.205687527E-006   0.000000000E+000
   0.46528129890588410E-008  -0.196208291E-006   0.000000000E+000
   0.46682196545855259E-008  -0.197516840E-006   0.000000000E+000
   0.46836263201122108E-008  -0.199763363E-006   0.000000000E+000
   0.46990329856388957E-008  -0.199469127E-006   0.000000000E+000
   0.47144396511655806E-008  -0.207067330E-006   0.000000000E+000
   0.47298463166922655E-008  -0.211533063E-006   0.000000000E+000
   0.47452529822189504E-008  -0.200322589E-006   0.000000000E+000
   0.47606596477456353E-008  -0.192751827E-006   0.000000000E+000
   0.47760663132723202E-008  -0.199975162E-006   0.000000000E+000
   0.47914729787990051E-008  -0.203026914E-006   0.000000000E+000
   0.48068796443256900E-008  -0.199935556E-006   0.000000000E+000
   0.48222863098523749E-008  -0.205894708E-006   0.000000000E+000
   0.48376929753790598E-008  -0.209738559E-006   0.000000000E+000
   0.48530996409057447E-008  -0.199044592E-006   0.000000000E+000
   0.48685063064324297E-008  -0.193102125E-006   0.000000000E+000
   0.48839129719591146E-008  -0.200362663E-006   0.000000000E+000
   0.48993196374857995E-008  -0.202807868E-006   0.000000000E+000
   0.49147263030124844E-008  -0.201505543E-006   0.000000000E+000
   0.49301329685391693E-008  -0.207936679E-006   0.000000000E+000
   0.49455396340658542E-008  -0.207648398E-006   0.000000000E+000
   0.49609462995925391E-008  -0.194768702E-006   0.000000000E+000
   0.49763529651192240E-008  -0.192982128E-006   0.000000000E+000
   0.49917596306459089E-008  -0.204007208E-006   0.000000000E+000
   0.50071662961725938E-008  -0.205016136E-006   0.000000000E+000
   0.50225729616992787E-008  -0.200966412E-006   0.000000000E+000
   0.50379796272259636E-008  -0.206180701E-006   0.000000000E+000
   0.50533862927526485E-008  -0.205825145E-006   0.000000000E+000
   0.50687929582793334E-008  -0.194671102E-006   0.000000000E+000
   0.50841996238060183E-008  -0.194751266E-006   0.000000000E+000
   0.50996062893327032E-008  -0.204848092E-006   0.000000000E+000
   0.51150129548593881E-008  -0.204719200E-006   0.000000000E+000
   0.51304196203860730E-008  -0.201999683E-006   0.000000000E+000
   0.51458262859127579E-008  -0.206961502E-006   0.000000000E+000
   0.51612329514394428E-008  -0.203445765E-006   0.000000000E+000
   0.51766396169661277E-008  -0.192277852E-006   0.000000000E+000
   0.51920462824928126E-008  -0.196538821E-006   0.000000000E+000
   0.52074529480194975E-008  -0.208490249E-006   0.000000000E+000
   0.52228596135461824E-008  -0.205944048E-006   0.000000000E+000
   0.52382662790728673E-008  -0.200445541E-006   0.000000000E+000
   0.52536729445995523E-008  -0.204493020E-006   0.000000000E+000
   0.52690796101262372E-008  -0.202534437E-006   0.000000000E+000
   0.52844862756529221E-008  -0.194475788E-006   0.000000000E+000
   0.52998929411796070E-008  -0.199090863E-006   0.000000000E+000
   0.53152996067062919E-008  -0.207984726E-006   0.000000000E+000
   0.53307062722329768E-008  -0.204836795E-006   0.000000000E+000
   0.53461129377596617E-008  -0.201828058E-006   0.000000000E+000
   0.53615196032863466E-008  -0.205155914E-006   0.000000000E+000
   0.53769262688130315E-008  -0.200109668E-006   0.000000000E+000
   0.53923329343397164E-008  -0.193479266E-006   0.000000000E+000
   0.54077395998664013E-008  -0.202339635E-006   0.000000000E+000
   0.54231462653930862E-008  -0.211226649E-006   0.000000000E+000
   0.54385529309197711E-008  -0.204324607E-006   0.000000000E+000
   0.54539595964464560E-008  -0.199039462E-006   0.000000000E+000
   0.54693662619731409E-008  -0.203421024E-006   0.000000000E+000
   0.54847729274998258E-008  -0.201641100E-006   0.000000000E+000
   0.55001795930265107E-008  -0.197003502E-006   0.000000000E+000
   0.55155862585531956E-008  -0.203296139E-006   0.000000000E+000
   0.55309929240798805E-008  -0.208968885E-006   0.000000000E+000
   0.55463995896065654E-008  -0.204031707E-006   0.000000000E+000
   0.55618062551332503E-008  -0.201562344E-006   0.000000000E+000
   0.55772129206599352E-008  -0.203272663E-006   0.000000000E+000
   0.55926195861866201E-008  -0.198856753E-006   0.000000000E+000
   0.56080262517133050E-008  -0.197905962E-006   0.000000000E+000
   0.56234329172399899E-008  -0.207790208E-006   0.000000000E+000
   0.56388395827666749E-008  -0.210450295E-006   0.000000000E+000
   0.56542462482933598E-008  -0.201130604E-006   0.000000000E+000
   0.56696529138200447E-008  -0.199078727E-006   0.000000000E+000
   0.56850595793467296E-008  -0.204264111E-006   0.000000000E+000
   0.57004662448734145E-008  -0.202154339E-006   0.000000000E+000
   0.57158729104000994E-008  -0.199975176E-006   0.000000000E+000
   0.57312795759267843E-008  -0.206338896E-006   0.000000000E+000
   0.57466862414534692E-008  -0.208583927E-006   0.000000000E+000
   0.57620929069801541E-008  -0.202934118E-006   0.000000000E+000
   0.57774995725068390E-008  -0.201346282E-006   0.000000000E+000
   0.57929062380335239E-008  -0.202313672E-006   0.000000000E+000
   0.58083129035602088E-008  -0.200223468E-006   0.000000000E+000
   0.58237195690868937E-008  -0.203459990E-006   0.000000000E+000
   0.58391262346135786E-008  -0.210382950E-006   0.000000000E+000
   0.58545329001402635E-008  -0.206833676E-006   0.000000000E+000
   0.58699395656669484E-008  -0.199032570E-006   0.000000000E+000
   0.58853462311936333E-008  -0.201618619E-006   0.000000000E+000
   0.59007528967203182E-008  -0.205854803E-006   0.000000000E+000
   0.59161595622470031E-008  -0.202477494E-006   0.000000000E+000
   0.59315662277736880E-008  -0.202666925E-006   0.000000000E+000
   0.59469728933003729E-008  -0.208544563E-006   0.000000000E+000
   0.59623795588270578E-008  -0.207379941E-006   0.000000000E+000
   0.59777862243537427E-008  -0.201672222E-006   0.000000000E+000
   0.59931928898804276E-008  -0.201653833E-006   0.000000000E+000
   0.60085995554071125E-008  -0.203099660E-006   0.000000000E+000
   0.60240062209337975E-008  -0.203297873E-006   0.000000000E+000
   0.60394128864604824E-008  -0.207584094E-006   0.000000000E+000
   0.60548195519871673E-008  -0.209624304E-006   0.000000000E+000
   0.60702262175138522E-008  -0.202969829E-006   0.000000000E+000
   0.60856328830405371E-008  -0.199763448E-006   0.000000000E+000
   0.61010395485672220E-008  -0.205357779E-006   0.000000000E+000
   0.61164462140939069E-008  -0.206435033E-006   0.000000000E+000
   0.61318528796205918E-008  -0.202476087E-006   0.000000000E+000
   0.61472595451472767E-008  -0.205553036E-006   0.000000000E+000
   0.61626662106739616E-008  -0.209922376E-006   0.000000000E+000
   0.61780728762006465E-008  -0.205292054E-006   0.000000000E+000
   0.61934795417273314E-008  -0.200722909E-006   0.000000000E+000
   0.62088862072540163E-008  -0.203274482E-006   0.000000000E+000
   0.62242928727807012E-008  -0.205387011E-006   0.000000000E+000
   0.62396995383073861E-008  -0.206171521E-006   0.000000000E+000
   0.62551062038340710E-008  -0.209009613E-006   0.000000000E+000
   0.62705128693607559E-008  -0.207155338E-006   0.000000000E+000
   0.62859195348874408E-008  -0.201141361E-006   0.000000000E+000
   0.63013262004141257E-008  -0.202762749E-006   0.000000000E+000
   0.63167328659408106E-008  -0.208189050E-006   0.000000000E+000
   0.63321395314674955E-008  -0.205696111E-006   0.000000000E+000
   0.63475461969941804E-008  -0.203164930E-006   0.000000000E+000
