t              LineCurrent.fdtd_Point probe_Ex_50_25_30.dat
   0.15776767670061531E-007   0.136235495E+002
   0.15778308370029311E-007   0.137474689E+002
   0.15779849069997090E-007   0.138720007E+002
   0.15781389769964869E-007   0.139970884E+002
   0.15782930469932649E-007   0.141227713E+002
   0.15784471169900428E-007   0.142491026E+002
   0.15786011869868208E-007   0.143760700E+002
   0.15787552569835987E-007   0.145035896E+002
   0.15789093269803767E-007   0.146315756E+002
   0.15790633969771546E-007   0.147600174E+002
   0.15792174669739326E-007   0.148889599E+002
   0.15793715369707105E-007   0.150184250E+002
   0.15795256069674884E-007   0.151483498E+002
   0.15796796769642664E-007   0.152786169E+002
   0.15798337469610443E-007   0.154091406E+002
   0.15799878169578223E-007   0.155399284E+002
   0.15801418869546002E-007   0.156710415E+002
   0.15802959569513782E-007   0.158024988E+002
   0.15804500269481561E-007   0.159342213E+002
   0.15806040969449341E-007   0.160660763E+002
   0.15807581669417120E-007   0.161979790E+002
   0.15809122369384900E-007   0.163299541E+002
   0.15810663069352679E-007   0.164620838E+002
   0.15812203769320458E-007   0.165944023E+002
   0.15813744469288238E-007   0.167268448E+002
   0.15815285169256017E-007   0.168592834E+002
   0.15816825869223797E-007   0.169916344E+002
   0.15818366569191576E-007   0.171239090E+002
   0.15819907269159356E-007   0.172561722E+002
   0.15821447969127135E-007   0.173884335E+002
   0.15822988669094915E-007   0.175206070E+002
   0.15824529369062694E-007   0.176525631E+002
   0.15826070069030473E-007   0.177842255E+002
   0.15827610768998253E-007   0.179156208E+002
   0.15829151468966032E-007   0.180468197E+002
   0.15830692168933812E-007   0.181778355E+002
   0.15832232868901591E-007   0.183085861E+002
   0.15833773568869371E-007   0.184389496E+002
   0.15835314268837150E-007   0.185688629E+002
   0.15836854968804930E-007   0.186983566E+002
   0.15838395668772709E-007   0.188274994E+002
   0.15839936368740488E-007   0.189562988E+002
   0.15841477068708268E-007   0.190846691E+002
   0.15843017768676047E-007   0.192124882E+002
   0.15844558468643827E-007   0.193396854E+002
   0.15846099168611606E-007   0.194662857E+002
   0.15847639868579386E-007   0.195923443E+002
   0.15849180568547165E-007   0.197178574E+002
   0.15850721268514945E-007   0.198427429E+002
   0.15852261968482724E-007   0.199668884E+002
   0.15853802668450503E-007   0.200902462E+002
   0.15855343368418283E-007   0.202128506E+002
   0.15856884068386062E-007   0.203347645E+002
   0.15858424768353842E-007   0.204559917E+002
   0.15859965468321621E-007   0.205764503E+002
   0.15861506168289401E-007   0.206960258E+002
   0.15863046868257180E-007   0.208146572E+002
   0.15864587568224960E-007   0.209323616E+002
   0.15866128268192739E-007   0.210491924E+002
   0.15867668968160518E-007   0.211651554E+002
   0.15869209668128298E-007   0.212801819E+002
   0.15870750368096077E-007   0.213941669E+002
   0.15872291068063857E-007   0.215070553E+002
   0.15873831768031636E-007   0.216188698E+002
   0.15875372467999416E-007   0.217296562E+002
   0.15876913167967195E-007   0.218394203E+002
   0.15878453867934975E-007   0.219480972E+002
   0.15879994567902754E-007   0.220555916E+002
   0.15881535267870533E-007   0.221618462E+002
   0.15883075967838313E-007   0.222668762E+002
   0.15884616667806092E-007   0.223707314E+002
   0.15886157367773872E-007   0.224734230E+002
   0.15887698067741651E-007   0.225748959E+002
   0.15889238767709431E-007   0.226750469E+002
   0.15890779467677210E-007   0.227737999E+002
   0.15892320167644990E-007   0.228711548E+002
   0.15893860867612769E-007   0.229671574E+002
   0.15895401567580549E-007   0.230618439E+002
   0.15896942267548328E-007   0.231551857E+002
   0.15898482967516107E-007   0.232471008E+002
   0.15900023667483887E-007   0.233375111E+002
   0.15901564367451666E-007   0.234263935E+002
   0.15903105067419446E-007   0.235137825E+002
   0.15904645767387225E-007   0.235997276E+002
   0.15906186467355005E-007   0.236842270E+002
   0.15907727167322784E-007   0.237672157E+002
   0.15909267867290564E-007   0.238486042E+002
   0.15910808567258343E-007   0.239283333E+002
   0.15912349267226122E-007   0.240064049E+002
   0.15913889967193902E-007   0.240828609E+002
   0.15915430667161681E-007   0.241577244E+002
   0.15916971367129461E-007   0.242309570E+002
   0.15918512067097240E-007   0.243024864E+002
   0.15920052767065020E-007   0.243722572E+002
   0.15921593467032799E-007   0.244402695E+002
   0.15923134167000579E-007   0.245065689E+002
   0.15924674866968358E-007   0.245711937E+002
   0.15926215566936137E-007   0.246341209E+002
   0.15927756266903917E-007   0.246952744E+002
   0.15929296966871696E-007   0.247545757E+002
   0.15930837666839476E-007   0.248120060E+002
   0.15932378366807255E-007   0.248676128E+002
   0.15933919066775035E-007   0.249214439E+002
   0.15935459766742814E-007   0.249734859E+002
   0.15937000466710594E-007   0.250236473E+002
   0.15938541166678373E-007   0.250718231E+002
   0.15940081866646152E-007   0.251179848E+002
   0.15941622566613932E-007   0.251622086E+002
   0.15943163266581711E-007   0.252045937E+002
   0.15944703966549491E-007   0.252451744E+002
   0.15946244666517270E-007   0.252838707E+002
   0.15947785366485050E-007   0.253205509E+002
   0.15949326066452829E-007   0.253551464E+002
   0.15950866766420609E-007   0.253877029E+002
   0.15952407466388388E-007   0.254183350E+002
   0.15953948166356167E-007   0.254471016E+002
   0.15955488866323947E-007   0.254739285E+002
   0.15957029566291726E-007   0.254986706E+002
   0.15958570266259506E-007   0.255212326E+002
   0.15960110966227285E-007   0.255416489E+002
   0.15961651666195065E-007   0.255600491E+002
   0.15963192366162844E-007   0.255765305E+002
   0.15964733066130624E-007   0.255910625E+002
   0.15966273766098403E-007   0.256035118E+002
   0.15967814466066182E-007   0.256137638E+002
   0.15969355166033962E-007   0.256218262E+002
   0.15970895866001741E-007   0.256278152E+002
   0.15972436565969521E-007   0.256318436E+002
   0.15973977265937300E-007   0.256339111E+002
   0.15975517965905080E-007   0.256339054E+002
   0.15977058665872859E-007   0.256316929E+002
   0.15978599365840639E-007   0.256272430E+002
   0.15980140065808418E-007   0.256206341E+002
   0.15981680765776198E-007   0.256119747E+002
   0.15983221465743977E-007   0.256012974E+002
   0.15984762165711756E-007   0.255885353E+002
   0.15986302865679536E-007   0.255735874E+002
   0.15987843565647315E-007   0.255564117E+002
   0.15989384265615095E-007   0.255370541E+002
   0.15990924965582874E-007   0.255156040E+002
   0.15992465665550654E-007   0.254921188E+002
   0.15994006365518433E-007   0.254665794E+002
   0.15995547065486213E-007   0.254389153E+002
   0.15997087765453992E-007   0.254090672E+002
   0.15998628465421771E-007   0.253770332E+002
   0.16000169165389551E-007   0.253428631E+002
   0.16001709865357330E-007   0.253066044E+002
   0.16003250565325110E-007   0.252682781E+002
   0.16004791265292889E-007   0.252278652E+002
   0.16006331965260669E-007   0.251853294E+002
