t              WireAirBox.fdtd_Point probe A_Ez_50_50_25.dat       incid
   0.15838052161432081E-007  -0.859328975E-005   0.000000000E+000
   0.15868865492485451E-007  -0.123762766E-004   0.000000000E+000
   0.15899678823538821E-007   0.250224002E-005   0.000000000E+000
   0.15930492154592191E-007   0.781858762E-005   0.000000000E+000
   0.15961305485645561E-007  -0.204383468E-005   0.000000000E+000
   0.15992118816698930E-007  -0.331263891E-005   0.000000000E+000
   0.16022932147752300E-007   0.959035515E-005   0.000000000E+000
   0.16053745478805670E-007   0.103745406E-004   0.000000000E+000
   0.16084558809859040E-007  -0.118403732E-004   0.000000000E+000
   0.16115372140912410E-007  -0.261532041E-004   0.000000000E+000
   0.16146185471965779E-007  -0.478484799E-005   0.000000000E+000
   0.16176998803019149E-007   0.292816512E-004   0.000000000E+000
   0.16207812134072519E-007   0.299305011E-004   0.000000000E+000
   0.16238625465125889E-007  -0.672853457E-005   0.000000000E+000
   0.16269438796179259E-007  -0.354284639E-004   0.000000000E+000
   0.16300252127232628E-007  -0.228806221E-004   0.000000000E+000
   0.16331065458285998E-007   0.112721154E-004   0.000000000E+000
   0.16361878789339368E-007   0.271106073E-004   0.000000000E+000
   0.16392692120392738E-007   0.159382689E-004   0.000000000E+000
   0.16423505451446108E-007  -0.155308953E-005   0.000000000E+000
   0.16454318782499477E-007  -0.126631821E-004   0.000000000E+000
   0.16485132113552847E-007  -0.199205933E-004   0.000000000E+000
   0.16515945444606217E-007  -0.176365593E-004   0.000000000E+000
   0.16546758775659587E-007   0.552424717E-005   0.000000000E+000
   0.16577572106712957E-007   0.347463283E-004   0.000000000E+000
   0.16608385437766326E-007   0.320780418E-004   0.000000000E+000
   0.16639198768819696E-007  -0.107996239E-004   0.000000000E+000
   0.16670012099873066E-007  -0.478476431E-004   0.000000000E+000
   0.16700825430926436E-007  -0.324503417E-004   0.000000000E+000
   0.16731638761979806E-007   0.192628904E-004   0.000000000E+000
   0.16762452093033176E-007   0.473574910E-004   0.000000000E+000
   0.16793265424086545E-007   0.240520403E-004   0.000000000E+000
   0.16824078755139915E-007  -0.179932122E-004   0.000000000E+000
   0.16854892086193285E-007  -0.347385139E-004   0.000000000E+000
   0.16885705417246655E-007  -0.199218775E-004   0.000000000E+000
   0.16916518748300025E-007   0.457278293E-005   0.000000000E+000
   0.16947332079353394E-007   0.220889797E-004   0.000000000E+000
   0.16978145410406764E-007   0.263473466E-004   0.000000000E+000
   0.17008958741460134E-007   0.114144914E-004   0.000000000E+000
   0.17039772072513504E-007  -0.186606303E-004   0.000000000E+000
   0.17070585403566874E-007  -0.375349628E-004   0.000000000E+000
   0.17101398734620243E-007  -0.193650158E-004   0.000000000E+000
   0.17132212065673613E-007   0.229136385E-004   0.000000000E+000
   0.17163025396726983E-007   0.433481764E-004   0.000000000E+000
   0.17193838727780353E-007   0.172065211E-004   0.000000000E+000
   0.17224652058833723E-007  -0.261852456E-004   0.000000000E+000
   0.17255465389887092E-007  -0.388982880E-004   0.000000000E+000
   0.17286278720940462E-007  -0.116805204E-004   0.000000000E+000
   0.17317092051993832E-007   0.213254789E-004   0.000000000E+000
   0.17347905383047202E-007   0.285326932E-004   0.000000000E+000
   0.17378718714100572E-007   0.114751401E-004   0.000000000E+000
   0.17409532045153941E-007  -0.992760397E-005   0.000000000E+000
   0.17440345376207311E-007  -0.215333002E-004   0.000000000E+000
   0.17471158707260681E-007  -0.179326016E-004   0.000000000E+000
   0.17501972038314051E-007   0.499891030E-006   0.000000000E+000
   0.17532785369367421E-007   0.215262862E-004   0.000000000E+000
   0.17563598700420791E-007   0.242543010E-004   0.000000000E+000
   0.17594412031474160E-007   0.206965888E-005   0.000000000E+000
   0.17625225362527530E-007  -0.237167187E-004   0.000000000E+000
   0.17656038693580900E-007  -0.251904185E-004   0.000000000E+000
   0.17686852024634270E-007  -0.733964043E-006   0.000000000E+000
   0.17717665355687640E-007   0.230254336E-004   0.000000000E+000
   0.17748478686741009E-007   0.221567170E-004   0.000000000E+000
   0.17779292017794379E-007   0.226989869E-006   0.000000000E+000
   0.17810105348847749E-007  -0.194542154E-004   0.000000000E+000
   0.17840918679901119E-007  -0.193083451E-004   0.000000000E+000
   0.17871732010954489E-007  -0.175865716E-005   0.000000000E+000
   0.17902545342007858E-007   0.162938577E-004   0.000000000E+000
   0.17933358673061228E-007   0.185506287E-004   0.000000000E+000
   0.17964172004114598E-007   0.286163413E-005   0.000000000E+000
   0.17994985335167968E-007  -0.155841062E-004   0.000000000E+000
   0.18025798666221338E-007  -0.177495440E-004   0.000000000E+000
   0.18056611997274707E-007  -0.149267362E-005   0.000000000E+000
   0.18087425328328077E-007   0.149571006E-004   0.000000000E+000
   0.18118238659381447E-007   0.144028554E-004   0.000000000E+000
   0.18149051990434817E-007   0.293402991E-006   0.000000000E+000
   0.18179865321488187E-007  -0.109358334E-004   0.000000000E+000
   0.18210678652541556E-007  -0.109371476E-004   0.000000000E+000
   0.18241491983594926E-007  -0.381612153E-005   0.000000000E+000
   0.18272305314648296E-007   0.519709192E-005   0.000000000E+000
   0.18303118645701666E-007   0.127644162E-004   0.000000000E+000
   0.18333931976755036E-007   0.114406685E-004   0.000000000E+000
   0.18364745307808406E-007  -0.387534237E-005   0.000000000E+000
   0.18395558638861775E-007  -0.207239245E-004   0.000000000E+000
