t              AirBox.fdtd_Point probe C_Hy_75_50_13.dat       incid
   0.30412757749676000E-007   0.285148076E-006   0.000000000E+000
   0.30443571080729370E-007   0.103639650E-005   0.000000000E+000
   0.30474384411782740E-007   0.892987941E-006   0.000000000E+000
   0.30505197742836110E-007   0.327275416E-007   0.000000000E+000
   0.30536011073889480E-007  -0.822341406E-006   0.000000000E+000
   0.30566824404942849E-007  -0.100352008E-005   0.000000000E+000
   0.30597637735996219E-007  -0.370804344E-006   0.000000000E+000
   0.30628451067049589E-007   0.585495116E-006   0.000000000E+000
   0.30659264398102959E-007   0.107921755E-005   0.000000000E+000
   0.30690077729156329E-007   0.654836640E-006   0.000000000E+000
   0.30720891060209699E-007  -0.359410933E-006   0.000000000E+000
   0.30751704391263068E-007  -0.107267954E-005   0.000000000E+000
   0.30782517722316438E-007  -0.838579126E-006   0.000000000E+000
   0.30813331053369808E-007   0.123464247E-006   0.000000000E+000
   0.30844144384423178E-007   0.945512397E-006   0.000000000E+000
   0.30874957715476548E-007   0.933293848E-006   0.000000000E+000
   0.30905771046529917E-007   0.152192115E-006   0.000000000E+000
   0.30936584377583287E-007  -0.716906811E-006   0.000000000E+000
   0.30967397708636657E-007  -0.983779842E-006   0.000000000E+000
   0.30998211039690027E-007  -0.456769158E-006   0.000000000E+000
   0.31029024370743397E-007   0.449332106E-006   0.000000000E+000
   0.31059837701796766E-007   0.100852628E-005   0.000000000E+000
   0.31090651032850136E-007   0.728860869E-006   0.000000000E+000
   0.31121464363903506E-007  -0.197413669E-006   0.000000000E+000
   0.31152277694956876E-007  -0.978938942E-006   0.000000000E+000
   0.31183091026010246E-007  -0.906476998E-006   0.000000000E+000
   0.31213904357063615E-007  -0.351393510E-007   0.000000000E+000
   0.31244717688116985E-007   0.848918660E-006   0.000000000E+000
   0.31275531019170355E-007   0.974020963E-006   0.000000000E+000
   0.31306344350223725E-007   0.276739797E-006   0.000000000E+000
   0.31337157681277095E-007  -0.612344081E-006   0.000000000E+000
   0.31367971012330464E-007  -0.967868573E-006   0.000000000E+000
   0.31398784343383834E-007  -0.539392829E-006   0.000000000E+000
   0.31429597674437204E-007   0.317260344E-006   0.000000000E+000
   0.31460411005490574E-007   0.926935570E-006   0.000000000E+000
   0.31491224336543944E-007   0.784287067E-006   0.000000000E+000
   0.31522037667597314E-007  -0.322433493E-007   0.000000000E+000
   0.31552850998650683E-007  -0.852906624E-006   0.000000000E+000
   0.31583664329704053E-007  -0.948254922E-006   0.000000000E+000
   0.31614477660757423E-007  -0.208330903E-006   0.000000000E+000
   0.31645290991810793E-007   0.711442340E-006   0.000000000E+000
   0.31676104322864163E-007   0.992330683E-006   0.000000000E+000
   0.31706917653917532E-007   0.415087356E-006   0.000000000E+000
   0.31737730984970902E-007  -0.480163180E-006   0.000000000E+000
   0.31768544316024272E-007  -0.933464833E-006   0.000000000E+000
   0.31799357647077642E-007  -0.613635393E-006   0.000000000E+000
   0.31830170978131012E-007   0.182571284E-006   0.000000000E+000
   0.31860984309184381E-007   0.819523848E-006   0.000000000E+000
   0.31891797640237751E-007   0.797708310E-006   0.000000000E+000
   0.31922610971291121E-007   0.117185209E-006   0.000000000E+000
   0.31953424302344491E-007  -0.685478597E-006   0.000000000E+000
   0.31984237633397861E-007  -0.925168365E-006   0.000000000E+000
   0.32015050964451230E-007  -0.362715241E-006   0.000000000E+000
   0.32045864295504600E-007   0.526031840E-006   0.000000000E+000
   0.32076677626557970E-007   0.949515709E-006   0.000000000E+000
   0.32107490957611340E-007   0.537856181E-006   0.000000000E+000
   0.32138304288664710E-007  -0.318797504E-006   0.000000000E+000
   0.32169117619718079E-007  -0.863386049E-006   0.000000000E+000
   0.32199930950771449E-007  -0.664858590E-006   0.000000000E+000
   0.32230744281824819E-007   0.600518320E-007   0.000000000E+000
   0.32261557612878189E-007   0.702077443E-006   0.000000000E+000
   0.32292370943931559E-007   0.765034258E-006   0.000000000E+000
   0.32323184274984929E-007   0.213743533E-006   0.000000000E+000
   0.32353997606038298E-007  -0.516736520E-006   0.000000000E+000
   0.32384810937091668E-007  -0.833091690E-006   0.000000000E+000
   0.32415624268145038E-007  -0.448746732E-006   0.000000000E+000
   0.32446437599198408E-007   0.334709796E-006   0.000000000E+000
   0.32477250930251778E-007   0.838258927E-006   0.000000000E+000
   0.32508064261305147E-007   0.606631886E-006   0.000000000E+000
   0.32538877592358517E-007  -0.152988605E-006   0.000000000E+000
   0.32569690923411887E-007  -0.757314410E-006   0.000000000E+000
   0.32600504254465257E-007  -0.687828447E-006   0.000000000E+000
   0.32631317585518627E-007  -0.448471269E-007   0.000000000E+000
   0.32662130916571996E-007   0.596493749E-006   0.000000000E+000
   0.32692944247625366E-007   0.717237867E-006   0.000000000E+000
   0.32723757578678736E-007   0.257134758E-006   0.000000000E+000
   0.32754570909732106E-007  -0.393860745E-006   0.000000000E+000
   0.32785384240785476E-007  -0.719242621E-006   0.000000000E+000
   0.32816197571838845E-007  -0.457607513E-006   0.000000000E+000
   0.32847010902892215E-007   0.191796431E-006   0.000000000E+000
   0.32877824233945585E-007   0.694596793E-006   0.000000000E+000
   0.32908637564998955E-007   0.606902347E-006   0.000000000E+000
   0.32939450896052325E-007  -0.152559778E-007   0.000000000E+000
   0.32970264227105694E-007  -0.627016732E-006   0.000000000E+000
   0.33001077558159064E-007  -0.680677999E-006   0.000000000E+000
   0.33031890889212434E-007  -0.138928328E-006   0.000000000E+000
   0.33062704220265804E-007   0.499888301E-006   0.000000000E+000
   0.33093517551319174E-007   0.681156735E-006   0.000000000E+000
   0.33124330882372544E-007   0.285322528E-006   0.000000000E+000
   0.33155144213425913E-007  -0.319438527E-006   0.000000000E+000
   0.33185957544479283E-007  -0.635149888E-006   0.000000000E+000
   0.33216770875532653E-007  -0.431191410E-006   0.000000000E+000
   0.33247584206586023E-007   0.115138704E-006   0.000000000E+000
   0.33278397537639393E-007   0.569717827E-006   0.000000000E+000
   0.33309210868692762E-007   0.559961563E-006   0.000000000E+000
   0.33340024199746132E-007   0.724753590E-007   0.000000000E+000
   0.33370837530799502E-007  -0.494973335E-006   0.000000000E+000
   0.33401650861852872E-007  -0.641118163E-006   0.000000000E+000
   0.33432464192906242E-007  -0.219135501E-006   0.000000000E+000
   0.33463277523959611E-007   0.396678075E-006   0.000000000E+000
   0.33494090855012981E-007   0.649407241E-006   0.000000000E+000
   0.33524904186066351E-007   0.327046280E-006   0.000000000E+000
   0.33555717517119721E-007  -0.256975568E-006   0.000000000E+000
   0.33586530848173091E-007  -0.588918283E-006   0.000000000E+000
   0.33617344179226460E-007  -0.418673494E-006   0.000000000E+000
   0.33648157510279830E-007   0.758965371E-007   0.000000000E+000
   0.33678970841333200E-007   0.489402737E-006   0.000000000E+000
   0.33709784172386570E-007   0.507372874E-006   0.000000000E+000
   0.33740597503439940E-007   0.115304402E-006   0.000000000E+000
   0.33771410834493309E-007  -0.386239236E-006   0.000000000E+000
   0.33802224165546679E-007  -0.580728340E-006   0.000000000E+000
   0.33833037496600049E-007  -0.274261680E-006   0.000000000E+000
   0.33863850827653419E-007   0.288945870E-006   0.000000000E+000
   0.33894664158706789E-007   0.603602984E-006   0.000000000E+000
   0.33925477489760159E-007   0.376220498E-006   0.000000000E+000
   0.33956290820813528E-007  -0.179031360E-006   0.000000000E+000
   0.33987104151866898E-007  -0.552766096E-006   0.000000000E+000
   0.34017917482920268E-007  -0.434338432E-006   0.000000000E+000
   0.34048730813973638E-007   0.326618306E-007   0.000000000E+000
   0.34079544145027008E-007   0.439646328E-006   0.000000000E+000
   0.34110357476080377E-007   0.478567301E-006   0.000000000E+000
   0.34141170807133747E-007   0.143282733E-006   0.000000000E+000
   0.34171984138187117E-007  -0.306679937E-006   0.000000000E+000
   0.34202797469240487E-007  -0.523001859E-006   0.000000000E+000
   0.34233610800293857E-007  -0.309180905E-006   0.000000000E+000
   0.34264424131347226E-007   0.188480044E-006   0.000000000E+000
   0.34295237462400596E-007   0.543992201E-006   0.000000000E+000
   0.34326050793453966E-007   0.419391483E-006   0.000000000E+000
   0.34356864124507336E-007  -0.850607762E-007   0.000000000E+000
   0.34387677455560706E-007  -0.503887748E-006   0.000000000E+000
   0.34418490786614075E-007  -0.463981252E-006   0.000000000E+000
