t              AirBox.fdtd_Point probe A_Ex_25_50_13.dat       incid
   0.24065211552681820E-007  -0.387659995E-003   0.000000000E+000
   0.24096024883735190E-007  -0.285265764E-003   0.000000000E+000
   0.24126838214788560E-007   0.463866163E-004   0.000000000E+000
   0.24157651545841929E-007   0.325413246E-003   0.000000000E+000
   0.24188464876895299E-007   0.332833064E-003   0.000000000E+000
   0.24219278207948669E-007   0.751327316E-004   0.000000000E+000
   0.24250091539002039E-007  -0.238316221E-003   0.000000000E+000
   0.24280904870055409E-007  -0.358200690E-003   0.000000000E+000
   0.24311718201108778E-007  -0.184482982E-003   0.000000000E+000
   0.24342531532162148E-007   0.145197002E-003   0.000000000E+000
   0.24373344863215518E-007   0.353816547E-003   0.000000000E+000
   0.24404158194268888E-007   0.259557331E-003   0.000000000E+000
   0.24434971525322258E-007  -0.547661621E-004   0.000000000E+000
   0.24465784856375627E-007  -0.312551187E-003   0.000000000E+000
   0.24496598187428997E-007  -0.296807528E-003   0.000000000E+000
   0.24527411518482367E-007  -0.376179814E-004   0.000000000E+000
   0.24558224849535737E-007   0.236267806E-003   0.000000000E+000
   0.24589038180589107E-007   0.305983791E-003   0.000000000E+000
   0.24619851511642477E-007   0.129779772E-003   0.000000000E+000
   0.24650664842695846E-007  -0.145298283E-003   0.000000000E+000
   0.24681478173749216E-007  -0.301226275E-003   0.000000000E+000
   0.24712291504802586E-007  -0.209986421E-003   0.000000000E+000
   0.24743104835855956E-007   0.598492188E-004   0.000000000E+000
   0.24773918166909326E-007   0.281802146E-003   0.000000000E+000
   0.24804731497962695E-007   0.259076944E-003   0.000000000E+000
   0.24835544829016065E-007   0.100789475E-004   0.000000000E+000
   0.24866358160069435E-007  -0.240178197E-003   0.000000000E+000
   0.24897171491122805E-007  -0.271982513E-003   0.000000000E+000
   0.24927984822176175E-007  -0.727885490E-004   0.000000000E+000
   0.24958798153229544E-007   0.171000764E-003   0.000000000E+000
   0.24989611484282914E-007   0.258257583E-003   0.000000000E+000
   0.25020424815336284E-007   0.135562121E-003   0.000000000E+000
