t              AirBox.fdtd_Point probe A_Ez_25_50_13.dat       incid
   0.27269797982232280E-007   0.279295728E-005   0.000000000E+000
   0.27300611313285650E-007   0.111761856E-004   0.000000000E+000
   0.27331424644339020E-007   0.715682927E-005   0.000000000E+000
   0.27362237975392389E-007  -0.733384786E-005   0.000000000E+000
   0.27393051306445759E-007  -0.139042932E-004   0.000000000E+000
   0.27423864637499129E-007  -0.397807253E-005   0.000000000E+000
   0.27454677968552499E-007   0.875193928E-005   0.000000000E+000
   0.27485491299605869E-007   0.935367643E-005   0.000000000E+000
   0.27516304630659238E-007   0.179454810E-005   0.000000000E+000
   0.27547117961712608E-007  -0.225259237E-005   0.000000000E+000
   0.27577931292765978E-007  -0.287431362E-005   0.000000000E+000
   0.27608744623819348E-007  -0.605579453E-005   0.000000000E+000
   0.27639557954872718E-007  -0.710669519E-005   0.000000000E+000
   0.27670371285926088E-007   0.238233497E-005   0.000000000E+000
   0.27701184616979457E-007   0.145241493E-004   0.000000000E+000
   0.27731997948032827E-007   0.112247290E-004   0.000000000E+000
   0.27762811279086197E-007  -0.726686812E-005   0.000000000E+000
   0.27793624610139567E-007  -0.180657735E-004   0.000000000E+000
   0.27824437941192937E-007  -0.731052751E-005   0.000000000E+000
   0.27855251272246306E-007   0.992035348E-005   0.000000000E+000
   0.27886064603299676E-007   0.125982424E-004   0.000000000E+000
   0.27916877934353046E-007   0.280084441E-005   0.000000000E+000
   0.27947691265406416E-007  -0.340341967E-005   0.000000000E+000
   0.27978504596459786E-007  -0.320004256E-005   0.000000000E+000
   0.28009317927513155E-007  -0.558753709E-005   0.000000000E+000
   0.28040131258566525E-007  -0.845498926E-005   0.000000000E+000
   0.28070944589619895E-007   0.573199941E-007   0.000000000E+000
   0.28101757920673265E-007   0.155681882E-004   0.000000000E+000
   0.28132571251726635E-007   0.158360981E-004   0.000000000E+000
   0.28163384582780004E-007  -0.535867548E-005   0.000000000E+000
   0.28194197913833374E-007  -0.225925178E-004   0.000000000E+000
   0.28225011244886744E-007  -0.126133600E-004   0.000000000E+000
   0.28255824575940114E-007   0.113692913E-004   0.000000000E+000
   0.28286637906993484E-007   0.188276863E-004   0.000000000E+000
   0.28317451238046853E-007   0.511344751E-005   0.000000000E+000
   0.28348264569100223E-007  -0.742292377E-005   0.000000000E+000
   0.28379077900153593E-007  -0.684363386E-005   0.000000000E+000
   0.28409891231206963E-007  -0.428642306E-005   0.000000000E+000
   0.28440704562260333E-007  -0.629427268E-005   0.000000000E+000
   0.28471517893313703E-007  -0.122501160E-005   0.000000000E+000
   0.28502331224367072E-007   0.143734178E-004   0.000000000E+000
   0.28533144555420442E-007   0.192827501E-004   0.000000000E+000
   0.28563957886473812E-007  -0.156837086E-005   0.000000000E+000
   0.28594771217527182E-007  -0.260169327E-004   0.000000000E+000
   0.28625584548580552E-007  -0.205653887E-004   0.000000000E+000
   0.28656397879633921E-007   0.100620673E-004   0.000000000E+000
   0.28687211210687291E-007   0.271113222E-004   0.000000000E+000
   0.28718024541740661E-007   0.121312787E-004   0.000000000E+000
   0.28748837872794031E-007  -0.107086180E-004   0.000000000E+000
   0.28779651203847401E-007  -0.147077371E-004   0.000000000E+000
   0.28810464534900770E-007  -0.600597923E-005   0.000000000E+000
   0.28841277865954140E-007  -0.225783401E-005   0.000000000E+000
   0.28872091197007510E-007   0.252656491E-006   0.000000000E+000
   0.28902904528060880E-007   0.123386162E-004   0.000000000E+000
   0.28933717859114250E-007   0.207517842E-004   0.000000000E+000
   0.28964531190167619E-007   0.383679435E-005   0.000000000E+000
   0.28995344521220989E-007  -0.260491561E-004   0.000000000E+000
   0.29026157852274359E-007  -0.295179707E-004   0.000000000E+000
   0.29056971183327729E-007   0.323974746E-005   0.000000000E+000
   0.29087784514381099E-007   0.328773604E-004   0.000000000E+000
   0.29118597845434468E-007   0.237484310E-004   0.000000000E+000
   0.29149411176487838E-007  -0.833260128E-005   0.000000000E+000
   0.29180224507541208E-007  -0.233356659E-004   0.000000000E+000
   0.29211037838594578E-007  -0.128058655E-004   0.000000000E+000
   0.29241851169647948E-007   0.670279405E-007   0.000000000E+000
   0.29272664500701318E-007   0.438585676E-005   0.000000000E+000
   0.29303477831754687E-007   0.112106918E-004   0.000000000E+000
   0.29334291162808057E-007   0.195897264E-004   0.000000000E+000
   0.29365104493861427E-007   0.892882690E-005   0.000000000E+000
   0.29395917824914797E-007  -0.213287931E-004   0.000000000E+000
   0.29426731155968167E-007  -0.352705720E-004   0.000000000E+000
   0.29457544487021536E-007  -0.798943438E-005   0.000000000E+000
   0.29488357818074906E-007   0.316475853E-004   0.000000000E+000
   0.29519171149128276E-007   0.352991483E-004   0.000000000E+000
   0.29549984480181646E-007   0.844025635E-006   0.000000000E+000
   0.29580797811235016E-007  -0.276580031E-004   0.000000000E+000
   0.29611611142288385E-007  -0.224793857E-004   0.000000000E+000
   0.29642424473341755E-007  -0.181563701E-005   0.000000000E+000
   0.29673237804395125E-007   0.891485979E-005   0.000000000E+000
   0.29704051135448495E-007   0.120940822E-004   0.000000000E+000
   0.29734864466501865E-007   0.167831367E-004   0.000000000E+000
   0.29765677797555234E-007   0.113286060E-004   0.000000000E+000
   0.29796491128608604E-007  -0.140055345E-004   0.000000000E+000
   0.29827304459661974E-007  -0.349045404E-004   0.000000000E+000
   0.29858117790715344E-007  -0.185244462E-004   0.000000000E+000
   0.29888931121768714E-007   0.233658575E-004   0.000000000E+000
   0.29919744452822084E-007   0.410761349E-004   0.000000000E+000
   0.29950557783875453E-007   0.130862354E-004   0.000000000E+000
   0.29981371114928823E-007  -0.248865908E-004   0.000000000E+000
   0.30012184445982193E-007  -0.304965579E-004   0.000000000E+000
   0.30042997777035563E-007  -0.778059621E-005   0.000000000E+000
   0.30073811108088933E-007   0.110786368E-004   0.000000000E+000
   0.30104624439142302E-007   0.147295996E-004   0.000000000E+000
   0.30135437770195672E-007   0.144564347E-004   0.000000000E+000
   0.30166251101249042E-007   0.105969521E-004   0.000000000E+000
   0.30197064432302412E-007  -0.770524457E-005   0.000000000E+000
   0.30227877763355782E-007  -0.295960181E-004   0.000000000E+000
   0.30258691094409151E-007  -0.241982452E-004   0.000000000E+000
   0.30289504425462521E-007   0.123033751E-004   0.000000000E+000
   0.30320317756515891E-007   0.394800409E-004   0.000000000E+000
   0.30351131087569261E-007   0.231472677E-004   0.000000000E+000
   0.30381944418622631E-007  -0.168588031E-004   0.000000000E+000
   0.30412757749676000E-007  -0.336801386E-004   0.000000000E+000
   0.30443571080729370E-007  -0.149736570E-004   0.000000000E+000
   0.30474384411782740E-007   0.986654595E-005   0.000000000E+000
   0.30505197742836110E-007   0.172994096E-004   0.000000000E+000
   0.30536011073889480E-007   0.136026829E-004   0.000000000E+000
   0.30566824404942849E-007   0.844101487E-005   0.000000000E+000
   0.30597637735996219E-007  -0.398185057E-005   0.000000000E+000
   0.30628451067049589E-007  -0.226706870E-004   0.000000000E+000
   0.30659264398102959E-007  -0.248497272E-004   0.000000000E+000
   0.30690077729156329E-007   0.266310053E-005   0.000000000E+000
   0.30720891060209699E-007   0.331068513E-004   0.000000000E+000
   0.30751704391263068E-007   0.284964444E-004   0.000000000E+000
   0.30782517722316438E-007  -0.745299621E-005   0.000000000E+000
   0.30813331053369808E-007  -0.321320913E-004   0.000000000E+000
   0.30844144384423178E-007  -0.206331897E-004   0.000000000E+000
   0.30874957715476548E-007   0.639524114E-005   0.000000000E+000
   0.30905771046529917E-007   0.184806959E-004   0.000000000E+000
   0.30936584377583287E-007   0.136765748E-004   0.000000000E+000
   0.30967397708636657E-007   0.622199650E-005   0.000000000E+000
   0.30998211039690027E-007  -0.232820867E-005   0.000000000E+000
   0.31029024370743397E-007  -0.160695017E-004   0.000000000E+000
   0.31059837701796766E-007  -0.222562558E-004   0.000000000E+000
   0.31090651032850136E-007  -0.435492620E-005   0.000000000E+000
   0.31121464363903506E-007   0.246929485E-004   0.000000000E+000
   0.31152277694956876E-007   0.298114355E-004   0.000000000E+000
   0.31183091026010246E-007   0.137107600E-005   0.000000000E+000
   0.31213904357063615E-007  -0.276153551E-004   0.000000000E+000
   0.31244717688116985E-007  -0.244395451E-004   0.000000000E+000
   0.31275531019170355E-007   0.184675082E-005   0.000000000E+000
   0.31306344350223725E-007   0.186338111E-004   0.000000000E+000
   0.31337157681277095E-007   0.145118802E-004   0.000000000E+000
   0.31367971012330464E-007   0.414347960E-005   0.000000000E+000
   0.31398784343383834E-007  -0.262737512E-005   0.000000000E+000
   0.31429597674437204E-007  -0.104969622E-004   0.000000000E+000
   0.31460411005490574E-007  -0.171915126E-004   0.000000000E+000
   0.31491224336543944E-007  -0.843194903E-005   0.000000000E+000
   0.31522037667597314E-007   0.151939639E-004   0.000000000E+000
   0.31552850998650683E-007   0.273719725E-004   0.000000000E+000
   0.31583664329704053E-007   0.920691673E-005   0.000000000E+000
   0.31614477660757423E-007  -0.202759311E-004   0.000000000E+000
   0.31645290991810793E-007  -0.263502898E-004   0.000000000E+000
   0.31676104322864163E-007  -0.430928412E-005   0.000000000E+000
   0.31706917653917532E-007   0.172063137E-004   0.000000000E+000
   0.31737730984970902E-007   0.168580973E-004   0.000000000E+000
   0.31768544316024272E-007   0.368879228E-005   0.000000000E+000
   0.31799357647077642E-007  -0.490930597E-005   0.000000000E+000
   0.31830170978131012E-007  -0.784393433E-005   0.000000000E+000
   0.31860984309184381E-007  -0.107651831E-004   0.000000000E+000
   0.31891797640237751E-007  -0.812953385E-005   0.000000000E+000
   0.31922610971291121E-007   0.650263974E-005   0.000000000E+000
   0.31953424302344491E-007   0.206012919E-004   0.000000000E+000
   0.31984237633397861E-007   0.139374679E-004   0.000000000E+000
   0.32015050964451230E-007  -0.102765898E-004   0.000000000E+000
   0.32045864295504600E-007  -0.242234382E-004   0.000000000E+000
   0.32076677626557970E-007  -0.113026454E-004   0.000000000E+000
   0.32107490957611340E-007   0.119521046E-004   0.000000000E+000
