t              SphericalCavity.fdtd_Point probe_Ex_50_25_50.dat
   0.67850944793224066E-008  -0.702468810E-006
   0.68035824751788709E-008  -0.988556167E-006
   0.68220704710353353E-008  -0.117531124E-005
   0.68405584668917996E-008  -0.127476915E-005
   0.68590464627482639E-008  -0.129645650E-005
   0.68775344586047282E-008  -0.123681582E-005
   0.68960224544611926E-008  -0.111331485E-005
   0.69145104503176569E-008  -0.980023742E-006
   0.69329984461741212E-008  -0.886350847E-006
   0.69514864420305855E-008  -0.831141847E-006
   0.69699744378870498E-008  -0.780574055E-006
   0.69884624337435142E-008  -0.727429040E-006
   0.70069504295999785E-008  -0.709961284E-006
   0.70254384254564428E-008  -0.766355527E-006
   0.70439264213129071E-008  -0.882351458E-006
   0.70624144171693715E-008  -0.988663032E-006
   0.70809024130258358E-008  -0.101156400E-005
   0.70993904088823001E-008  -0.932866271E-006
   0.71178784047387644E-008  -0.795575431E-006
   0.71363664005952288E-008  -0.635766696E-006
   0.71548543964516931E-008  -0.418806593E-006
   0.71733423923081574E-008  -0.721965421E-007
   0.71918303881646217E-008   0.421406810E-006
   0.72103183840210860E-008   0.995931714E-006
   0.72288063798775504E-008   0.156486749E-005
   0.72472943757340147E-008   0.207799030E-005
   0.72657823715904790E-008   0.251571373E-005
   0.72842703674469433E-008   0.286710542E-005
   0.73027583633034077E-008   0.312497514E-005
   0.73212463591598720E-008   0.327383191E-005
   0.73397343550163363E-008   0.327727162E-005
   0.73582223508728006E-008   0.310914311E-005
   0.73767103467292650E-008   0.280280256E-005
   0.73951983425857293E-008   0.242939677E-005
   0.74136863384421936E-008   0.200896920E-005
   0.74321743342986579E-008   0.148296965E-005
   0.74506623301551222E-008   0.808991615E-006
   0.74691503260115866E-008   0.536922471E-007
   0.74876383218680509E-008  -0.651077642E-006
   0.75061263177245152E-008  -0.122859683E-005
   0.75246143135809795E-008  -0.169259135E-005
   0.75431023094374439E-008  -0.207849689E-005
   0.75615903052939082E-008  -0.239468363E-005
   0.75800783011503725E-008  -0.264149162E-005
   0.75985662970068368E-008  -0.281470579E-005
   0.76170542928633012E-008  -0.286285695E-005
   0.76355422887197655E-008  -0.269272368E-005
