t              SphereRCS.fdtd_Point probe_Ez_50_50_13.dat       incid
   0.97678259439182291E-008   0.344244036E-003   0.000000000E+000
   0.97986392749715989E-008   0.281621993E-003   0.000000000E+000
   0.98294526060249687E-008   0.166122059E-003   0.000000000E+000
   0.98602659370783385E-008  -0.208667479E-004   0.000000000E+000
   0.98910792681317083E-008  -0.204654178E-003   0.000000000E+000
   0.99218925991850782E-008  -0.300369022E-003   0.000000000E+000
   0.99527059302384480E-008  -0.324037013E-003   0.000000000E+000
   0.99835192612918178E-008  -0.357018493E-003   0.000000000E+000
   0.10014332592345188E-007  -0.413385278E-003   0.000000000E+000
   0.10045145923398557E-007  -0.411215442E-003   0.000000000E+000
   0.10075959254451927E-007  -0.294917641E-003   0.000000000E+000
   0.10106772585505297E-007  -0.125331237E-003   0.000000000E+000
   0.10137585916558667E-007  -0.821353751E-006   0.000000000E+000
   0.10168399247612037E-007   0.695268973E-004   0.000000000E+000
   0.10199212578665406E-007   0.150218024E-003   0.000000000E+000
   0.10230025909718776E-007   0.258479180E-003   0.000000000E+000
   0.10260839240772146E-007   0.335456309E-003   0.000000000E+000
   0.10291652571825516E-007   0.347598019E-003   0.000000000E+000
   0.10322465902878886E-007   0.345161563E-003   0.000000000E+000
   0.10353279233932255E-007   0.380495709E-003   0.000000000E+000
   0.10384092564985625E-007   0.417481031E-003   0.000000000E+000
   0.10414905896038995E-007   0.378659926E-003   0.000000000E+000
   0.10445719227092365E-007   0.263452734E-003   0.000000000E+000
   0.10476532558145735E-007   0.161391508E-003   0.000000000E+000
   0.10507345889199105E-007   0.137711686E-003   0.000000000E+000
   0.10538159220252474E-007   0.153504589E-003   0.000000000E+000
   0.10568972551305844E-007   0.130690983E-003   0.000000000E+000
   0.10599785882359214E-007   0.622025182E-004   0.000000000E+000
   0.10630599213412584E-007   0.858389831E-005   0.000000000E+000
   0.10661412544465954E-007  -0.842598638E-006   0.000000000E+000
   0.10692225875519323E-007  -0.360494050E-005   0.000000000E+000
   0.10723039206572693E-007  -0.298075611E-004   0.000000000E+000
   0.10753852537626063E-007  -0.504700074E-004   0.000000000E+000
   0.10784665868679433E-007  -0.361677085E-004   0.000000000E+000
   0.10815479199732803E-007  -0.235387415E-004   0.000000000E+000
   0.10846292530786172E-007  -0.686518033E-004   0.000000000E+000
   0.10877105861839542E-007  -0.151481217E-003   0.000000000E+000
   0.10907919192892912E-007  -0.184981574E-003   0.000000000E+000
   0.10938732523946282E-007  -0.129661581E-003   0.000000000E+000
   0.10969545854999652E-007  -0.521563343E-004   0.000000000E+000
   0.11000359186053021E-007  -0.404519087E-004   0.000000000E+000
   0.11031172517106391E-007  -0.926756038E-004   0.000000000E+000
   0.11061985848159761E-007  -0.132863206E-003   0.000000000E+000
   0.11092799179213131E-007  -0.122440571E-003   0.000000000E+000
   0.11123612510266501E-007  -0.102537459E-003   0.000000000E+000
   0.11154425841319870E-007  -0.116776442E-003   0.000000000E+000
