t              SphereGround.fdtd_Point probe_1_Ex_50_50_50.dat       incid
   0.12818344274911908E-007   0.369224697E-001   0.000000000E+000
   0.12849157602495831E-007   0.507558957E-001   0.000000000E+000
   0.12879970930079754E-007   0.636562631E-001   0.000000000E+000
   0.12910784257663677E-007   0.742575526E-001   0.000000000E+000
   0.12941597585247600E-007   0.813260749E-001   0.000000000E+000
   0.12972410912831522E-007   0.839153752E-001   0.000000000E+000
   0.13003224240415445E-007   0.814901143E-001   0.000000000E+000
   0.13034037567999368E-007   0.740014091E-001   0.000000000E+000
   0.13064850895583291E-007   0.618977249E-001   0.000000000E+000
   0.13095664223167214E-007   0.460774004E-001   0.000000000E+000
   0.13126477550751137E-007   0.278045442E-001   0.000000000E+000
   0.13157290878335060E-007   0.859521516E-002   0.000000000E+000
   0.13188104205918982E-007  -0.993925147E-002   0.000000000E+000
   0.13218917533502905E-007  -0.262922179E-001   0.000000000E+000
   0.13249730861086828E-007  -0.392690599E-001   0.000000000E+000
   0.13280544188670751E-007  -0.481454395E-001   0.000000000E+000
   0.13311357516254674E-007  -0.527326353E-001   0.000000000E+000
   0.13342170843838597E-007  -0.533399768E-001   0.000000000E+000
   0.13372984171422519E-007  -0.506629609E-001   0.000000000E+000
   0.13403797499006442E-007  -0.456456132E-001   0.000000000E+000
   0.13434610826590365E-007  -0.393486805E-001   0.000000000E+000
   0.13465424154174288E-007  -0.328190848E-001   0.000000000E+000
   0.13496237481758211E-007  -0.269491039E-001   0.000000000E+000
   0.13527050809342134E-007  -0.223470964E-001   0.000000000E+000
