t              2d_case.fdtd_Point probe_1_Ey_50_0_80.dat       incid
   0.97732857050336630E-008  -0.801908900E-004   0.000000000E+000
   0.98110203988754918E-008  -0.823360315E-004   0.000000000E+000
   0.98487550927173206E-008  -0.841906513E-004   0.000000000E+000
   0.98864897865591495E-008  -0.858971689E-004   0.000000000E+000
   0.99242244804009783E-008  -0.877042548E-004   0.000000000E+000
   0.99619591742428071E-008  -0.894948535E-004   0.000000000E+000
   0.99996938680846359E-008  -0.908968650E-004   0.000000000E+000
   0.10037428561926465E-007  -0.918098376E-004   0.000000000E+000
   0.10075163255768294E-007  -0.925422355E-004   0.000000000E+000
   0.10112897949610122E-007  -0.934299387E-004   0.000000000E+000
   0.10150632643451951E-007  -0.944844869E-004   0.000000000E+000
   0.10188367337293780E-007  -0.954374773E-004   0.000000000E+000
   0.10226102031135609E-007  -0.960510588E-004   0.000000000E+000
   0.10263836724977438E-007  -0.963637503E-004   0.000000000E+000
   0.10301571418819266E-007  -0.966012813E-004   0.000000000E+000
   0.10339306112661095E-007  -0.968523746E-004   0.000000000E+000
   0.10377040806502924E-007  -0.970354085E-004   0.000000000E+000
   0.10414775500344753E-007  -0.972226044E-004   0.000000000E+000
   0.10452510194186582E-007  -0.976278970E-004   0.000000000E+000
   0.10490244888028410E-007  -0.981067715E-004   0.000000000E+000
   0.10527979581870239E-007  -0.981646153E-004   0.000000000E+000
   0.10565714275712068E-007  -0.976994270E-004   0.000000000E+000
   0.10603448969553897E-007  -0.971878908E-004   0.000000000E+000
   0.10641183663395726E-007  -0.968936220E-004   0.000000000E+000
   0.10678918357237555E-007  -0.965490617E-004   0.000000000E+000
   0.10716653051079383E-007  -0.960442048E-004   0.000000000E+000
   0.10754387744921212E-007  -0.956656077E-004   0.000000000E+000
   0.10792122438763041E-007  -0.953728013E-004   0.000000000E+000
   0.10829857132604870E-007  -0.945869033E-004   0.000000000E+000
   0.10867591826446699E-007  -0.930310489E-004   0.000000000E+000
   0.10905326520288527E-007  -0.911359093E-004   0.000000000E+000
   0.10943061214130356E-007  -0.893315228E-004   0.000000000E+000
   0.10980795907972185E-007  -0.874855687E-004   0.000000000E+000
   0.11018530601814014E-007  -0.852902303E-004   0.000000000E+000
   0.11056265295655843E-007  -0.828152988E-004   0.000000000E+000
   0.11093999989497672E-007  -0.803970543E-004   0.000000000E+000
   0.11131734683339500E-007  -0.781133858E-004   0.000000000E+000
   0.11169469377181329E-007  -0.756185109E-004   0.000000000E+000
   0.11207204071023158E-007  -0.726382132E-004   0.000000000E+000
   0.11244938764864987E-007  -0.694353294E-004   0.000000000E+000
   0.11282673458706816E-007  -0.664527834E-004   0.000000000E+000
   0.11320408152548644E-007  -0.636821060E-004   0.000000000E+000
   0.11358142846390473E-007  -0.608677401E-004   0.000000000E+000
   0.11395877540232302E-007  -0.581257264E-004   0.000000000E+000
   0.11433612234074131E-007  -0.557355743E-004   0.000000000E+000
   0.11471346927915960E-007  -0.535671388E-004   0.000000000E+000
   0.11509081621757788E-007  -0.513294508E-004   0.000000000E+000
   0.11546816315599617E-007  -0.490883795E-004   0.000000000E+000
   0.11584551009441446E-007  -0.470122250E-004   0.000000000E+000
   0.11622285703283275E-007  -0.450105908E-004   0.000000000E+000
   0.11660020397125104E-007  -0.430129221E-004   0.000000000E+000
   0.11697755090966933E-007  -0.411336223E-004   0.000000000E+000
   0.11735489784808761E-007  -0.393431546E-004   0.000000000E+000
   0.11773224478650590E-007  -0.374838819E-004   0.000000000E+000
   0.11810959172492419E-007  -0.356352793E-004   0.000000000E+000
   0.11848693866334248E-007  -0.339494109E-004   0.000000000E+000
   0.11886428560176077E-007  -0.323209097E-004   0.000000000E+000
   0.11924163254017905E-007  -0.306507536E-004   0.000000000E+000
   0.11961897947859734E-007  -0.290695789E-004   0.000000000E+000
   0.11999632641701563E-007  -0.275986895E-004   0.000000000E+000
   0.12037367335543392E-007  -0.260720371E-004   0.000000000E+000
   0.12075102029385221E-007  -0.245064421E-004   0.000000000E+000
   0.12112836723227050E-007  -0.230610658E-004   0.000000000E+000
   0.12150571417068878E-007  -0.216936896E-004   0.000000000E+000
   0.12188306110910707E-007  -0.203222462E-004   0.000000000E+000
   0.12226040804752536E-007  -0.190318733E-004   0.000000000E+000
   0.12263775498594365E-007  -0.177932088E-004   0.000000000E+000
   0.12301510192436194E-007  -0.164344619E-004   0.000000000E+000
   0.12339244886278022E-007  -0.150544402E-004   0.000000000E+000
   0.12376979580119851E-007  -0.138924652E-004   0.000000000E+000
   0.12414714273961680E-007  -0.128402016E-004   0.000000000E+000
   0.12452448967803509E-007  -0.116649153E-004   0.000000000E+000
   0.12490183661645338E-007  -0.104606670E-004   0.000000000E+000
   0.12527918355487166E-007  -0.935513162E-005   0.000000000E+000
   0.12565653049328995E-007  -0.823398841E-005   0.000000000E+000
   0.12603387743170824E-007  -0.710185304E-005   0.000000000E+000
   0.12641122437012653E-007  -0.613649217E-005   0.000000000E+000
   0.12678857130854482E-007  -0.524702955E-005   0.000000000E+000
   0.12716591824696311E-007  -0.420858669E-005   0.000000000E+000
   0.12754326518538139E-007  -0.312347925E-005   0.000000000E+000
   0.12792061212379968E-007  -0.217614820E-005   0.000000000E+000
   0.12829795906221797E-007  -0.128796364E-005   0.000000000E+000
   0.12867530600063626E-007  -0.405605306E-006   0.000000000E+000
   0.12905265293905455E-007   0.388602587E-006   0.000000000E+000
   0.12942999987747283E-007   0.121514540E-005   0.000000000E+000
   0.12980734681589112E-007   0.220709376E-005   0.000000000E+000
   0.13018469375430941E-007   0.311263602E-005   0.000000000E+000
   0.13056204069272770E-007   0.374148703E-005   0.000000000E+000
   0.13093938763114599E-007   0.438378311E-005   0.000000000E+000
   0.13131673456956428E-007   0.524261259E-005   0.000000000E+000
   0.13169408150798256E-007   0.606185131E-005   0.000000000E+000
   0.13207142844640085E-007   0.671095449E-005   0.000000000E+000
   0.13244877538481914E-007   0.738489507E-005   0.000000000E+000
   0.13282612232323743E-007   0.809300582E-005   0.000000000E+000
   0.13320346926165572E-007   0.868076404E-005   0.000000000E+000
   0.13358081620007400E-007   0.925576751E-005   0.000000000E+000
   0.13395816313849229E-007   0.994964557E-005   0.000000000E+000
   0.13433551007691058E-007   0.106055986E-004   0.000000000E+000
   0.13471285701532887E-007   0.111269183E-004   0.000000000E+000
   0.13509020395374716E-007   0.116421452E-004   0.000000000E+000
   0.13546755089216544E-007   0.121682860E-004   0.000000000E+000
   0.13584489783058373E-007   0.126500581E-004   0.000000000E+000
   0.13622224476900202E-007   0.131909765E-004   0.000000000E+000
   0.13659959170742031E-007   0.137848638E-004   0.000000000E+000
   0.13697693864583860E-007   0.142191657E-004   0.000000000E+000
   0.13735428558425689E-007   0.145192225E-004   0.000000000E+000
   0.13773163252267517E-007   0.149439556E-004   0.000000000E+000
   0.13810897946109346E-007   0.154731006E-004   0.000000000E+000
   0.13848632639951175E-007   0.159004976E-004   0.000000000E+000
   0.13886367333793004E-007   0.162411689E-004   0.000000000E+000
   0.13924102027634833E-007   0.165813908E-004   0.000000000E+000
   0.13961836721476661E-007   0.168837851E-004   0.000000000E+000
   0.13999571415318490E-007   0.171999764E-004   0.000000000E+000
   0.14037306109160319E-007   0.176120266E-004   0.000000000E+000
   0.14075040803002148E-007   0.179698254E-004   0.000000000E+000
   0.14112775496843977E-007   0.181628784E-004   0.000000000E+000
   0.14150510190685806E-007   0.183713146E-004   0.000000000E+000
   0.14188244884527634E-007   0.186838352E-004   0.000000000E+000
   0.14225979578369463E-007   0.189536950E-004   0.000000000E+000
   0.14263714272211292E-007   0.191666004E-004   0.000000000E+000
   0.14301448966053121E-007   0.194102849E-004   0.000000000E+000
   0.14339183659894950E-007   0.195968096E-004   0.000000000E+000
   0.14376918353736778E-007   0.197011359E-004   0.000000000E+000
   0.14414653047578607E-007   0.199012502E-004   0.000000000E+000
   0.14452387741420436E-007   0.201611529E-004   0.000000000E+000
   0.14490122435262265E-007   0.202693318E-004   0.000000000E+000
   0.14527857129104094E-007   0.203177351E-004   0.000000000E+000
   0.14565591822945922E-007   0.204898806E-004   0.000000000E+000
   0.14603326516787751E-007   0.206392669E-004   0.000000000E+000
   0.14641061210629580E-007   0.206625118E-004   0.000000000E+000
   0.14678795904471409E-007   0.207513585E-004   0.000000000E+000
   0.14716530598313238E-007   0.209068494E-004   0.000000000E+000
   0.14754265292155067E-007   0.209185018E-004   0.000000000E+000
   0.14791999985996895E-007   0.208870442E-004   0.000000000E+000
   0.14829734679838724E-007   0.209945447E-004   0.000000000E+000
   0.14867469373680553E-007   0.210680209E-004   0.000000000E+000
   0.14905204067522382E-007   0.209997652E-004   0.000000000E+000
   0.14942938761364211E-007   0.210068156E-004   0.000000000E+000
   0.14980673455206039E-007   0.210877533E-004   0.000000000E+000
   0.15018408149047868E-007   0.210133330E-004   0.000000000E+000
   0.15056142842889697E-007   0.209012651E-004   0.000000000E+000
   0.15093877536731526E-007   0.209582795E-004   0.000000000E+000
   0.15131612230573355E-007   0.209770296E-004   0.000000000E+000
   0.15169346924415184E-007   0.208111578E-004   0.000000000E+000
   0.15207081618257012E-007   0.207169942E-004   0.000000000E+000
   0.15244816312098841E-007   0.207447210E-004   0.000000000E+000
   0.15282551005940670E-007   0.206468867E-004   0.000000000E+000
   0.15320285699782499E-007   0.204821299E-004   0.000000000E+000
   0.15358020393624328E-007   0.204463722E-004   0.000000000E+000
   0.15395755087466156E-007   0.203736708E-004   0.000000000E+000
   0.15433489781307985E-007   0.201554230E-004   0.000000000E+000
   0.15471224475149814E-007   0.200342110E-004   0.000000000E+000
   0.15508959168991643E-007   0.200244958E-004   0.000000000E+000
   0.15546693862833472E-007   0.198569160E-004   0.000000000E+000
   0.15584428556675300E-007   0.196063647E-004   0.000000000E+000
   0.15622163250517129E-007   0.195050052E-004   0.000000000E+000
   0.15659897944358958E-007   0.194097865E-004   0.000000000E+000
   0.15697632638200787E-007   0.191749932E-004   0.000000000E+000
   0.15735367332042616E-007   0.189932543E-004   0.000000000E+000
   0.15773102025884445E-007   0.188910599E-004   0.000000000E+000
   0.15810836719726273E-007   0.186611360E-004   0.000000000E+000
   0.15848571413568102E-007   0.183953471E-004   0.000000000E+000
   0.15886306107409931E-007   0.182838248E-004   0.000000000E+000
   0.15924040801251760E-007   0.181518208E-004   0.000000000E+000
   0.15961775495093589E-007   0.178589344E-004   0.000000000E+000
   0.15999510188935417E-007   0.176062149E-004   0.000000000E+000
   0.16037244882777246E-007   0.174588149E-004   0.000000000E+000
   0.16074979576619075E-007   0.172365344E-004   0.000000000E+000
   0.16112714270460904E-007   0.169780978E-004   0.000000000E+000
   0.16150448964302733E-007   0.168032984E-004   0.000000000E+000
   0.16188183658144562E-007   0.165785459E-004   0.000000000E+000
   0.16225918351986390E-007   0.162514589E-004   0.000000000E+000
   0.16263653045828219E-007   0.160207055E-004   0.000000000E+000
   0.16301387739670048E-007   0.158794464E-004   0.000000000E+000
   0.16339122433511877E-007   0.156216265E-004   0.000000000E+000
   0.16376857127353706E-007   0.152978464E-004   0.000000000E+000
   0.16414591821195534E-007   0.150650758E-004   0.000000000E+000
   0.16452326515037363E-007   0.148375748E-004   0.000000000E+000
   0.16490061208879192E-007   0.145513022E-004   0.000000000E+000
   0.16527795902721021E-007   0.143153584E-004   0.000000000E+000
   0.16565530596562850E-007   0.140900556E-004   0.000000000E+000
   0.16603265290404678E-007   0.137587722E-004   0.000000000E+000
   0.16640999984246507E-007   0.134490310E-004   0.000000000E+000
   0.16678734678088336E-007   0.132609503E-004   0.000000000E+000
   0.16716469371930165E-007   0.130315348E-004   0.000000000E+000
   0.16754204065771994E-007   0.126940804E-004   0.000000000E+000
   0.16791938759613823E-007   0.123979362E-004   0.000000000E+000
   0.16829673453455651E-007   0.121577650E-004   0.000000000E+000
   0.16867408147297480E-007   0.118721891E-004   0.000000000E+000
   0.16905142841139309E-007   0.115916828E-004   0.000000000E+000
   0.16942877534981138E-007   0.113555634E-004   0.000000000E+000
   0.16980612228822967E-007   0.110629435E-004   0.000000000E+000
   0.17018346922664795E-007   0.107247743E-004   0.000000000E+000
